dataset,noise_type,tau,fold,mae,cosine
imbalanced,feature_driven,0.1,0,0.10717141781845846,0.8466987542842722
imbalanced,feature_driven,0.1,1,0.07730671479461765,0.9481682346048048
imbalanced,feature_driven,0.1,2,0.09991752369131561,0.8729765871845537
imbalanced,feature_driven,0.1,3,0.09008152987489274,0.8899634645367357
imbalanced,feature_driven,0.1,4,0.1128811079829638,0.8449436011585766
imbalanced,feature_driven,0.1,5,0.10627801781991415,0.8461793013925291
imbalanced,feature_driven,0.1,6,0.1053339819557395,0.8666093724214075
imbalanced,feature_driven,0.1,7,0.10418623774856954,0.8515718584963282
imbalanced,feature_driven,0.1,8,0.10547192024197888,0.8313352496668545
imbalanced,feature_driven,0.1,9,0.0937030388259666,0.8824422928514482
imbalanced,feature_driven,0.2,0,0.09114882045975449,0.901410767535824
imbalanced,feature_driven,0.2,1,0.08780387681211052,0.9242724805519659
imbalanced,feature_driven,0.2,2,0.09399951001947207,0.8990271319069189
imbalanced,feature_driven,0.2,3,0.08256174216333276,0.9263413650078789
imbalanced,feature_driven,0.2,4,0.10261515841915694,0.8743126413161946
imbalanced,feature_driven,0.2,5,0.09604129574413056,0.8821341887327624
imbalanced,feature_driven,0.2,6,0.0926410598894758,0.9018116486152904
imbalanced,feature_driven,0.2,7,0.10567717997037245,0.8599761129181313
imbalanced,feature_driven,0.2,8,0.09896751446845392,0.8798326486704379
imbalanced,feature_driven,0.2,9,0.09796758715165556,0.8640132767480703
imbalanced,feature_driven,0.3,0,0.0941495442511685,0.9056914707895333
imbalanced,feature_driven,0.3,1,0.09287209426897583,0.8982508478760578
imbalanced,feature_driven,0.3,2,0.09456589107719371,0.8993557858134121
imbalanced,feature_driven,0.3,3,0.08883891723311155,0.9222111087723275
imbalanced,feature_driven,0.3,4,0.09289505296547207,0.8849289092817855
imbalanced,feature_driven,0.3,5,0.09713180824013389,0.8874542648578263
imbalanced,feature_driven,0.3,6,0.09034203605187015,0.913273357271385
imbalanced,feature_driven,0.3,7,0.09427494544987758,0.891707692334592
imbalanced,feature_driven,0.3,8,0.09580728525293492,0.8813882189276129
imbalanced,feature_driven,0.3,9,0.09247034840441899,0.8914094540190552
imbalanced,feature_driven,0.4,0,0.08824348465609823,0.921573768249313
imbalanced,feature_driven,0.4,1,0.09506012623339116,0.8970197027086265
imbalanced,feature_driven,0.4,2,0.09451424889146037,0.8952311348728316
imbalanced,feature_driven,0.4,3,0.09100426256874698,0.9105338387334981
