dataset,init,optim,method,tau,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,macro_auc_mean,macro_auc_std,nta_mean,nta_std,lnmr_mean,lnmr_std,empirical_flip_rate_mean,empirical_flip_rate_std,per_class_f1_akiec_mean,per_class_f1_akiec_std,per_class_f1_bcc_mean,per_class_f1_bcc_std,per_class_f1_bkl_mean,per_class_f1_bkl_std,per_class_f1_df_mean,per_class_f1_df_std,per_class_f1_mel_mean,per_class_f1_mel_std,per_class_f1_nv_mean,per_class_f1_nv_std,per_class_f1_vasc_mean,per_class_f1_vasc_std,n_folds
imbalanced,scratch,sgd,asyco_divmix,0.0,0.5156324004446089,0.037870866560047636,0.25181082116821896,0.03850978393867293,0.3068344351847981,0.10060279867184697,0.863359553045328,0.018265550215354236,,,,,0.0,0.0,0.35154467094353603,0.04009894883802826,0.3668794392064904,0.11323043956880369,0.2548560681090134,0.10085643045800559,0.061275799219253566,0.017259910542283496,0.29873647173486184,0.04346102465968357,0.31603977332930433,0.13708303933754754,0.11334352563507302,0.035339704084956756,10
imbalanced,scratch,sgd,asyco_divmix,0.1,0.45752440514506787,0.04209291032332044,0.1841253617584498,0.02020390742246835,0.08027545157208411,0.038685903025463104,0.8272787699040636,0.02334653402149436,0.10417683062176575,0.019638837807193464,0.23908732013572273,0.03798202660880109,0.12763647181317864,0.00294283418166978,0.31414769636952117,0.07045941455841045,0.3744722999217099,0.0796037799001356,0.1957825950273009,0.08939009534409197,0.052325750913725676,0.009877361982586368,0.2669982224594186,0.04678222452443519,0.016477068317433535,0.050819403791543205,0.06867389930003866,0.028732227496552583,10
imbalanced,scratch,sgd,asyco_divmix,0.2,0.4436548044145826,0.05010273136265426,0.16733291485507043,0.018468550807042017,0.0638249584958375,0.012324362565094416,0.8185557995033008,0.037019991715655065,0.10307708834876605,0.014754839709344148,0.2398171102583994,0.025093780442142062,0.20504239178937972,0.0032717851844510596,0.26904931260566467,0.03674519682660673,0.39321105589132826,0.09629498719106379,0.16286418216770238,0.07734479063912249,0.043342604311794014,0.020730788769753258,0.23688318953622015,0.033734072671236265,0.0025515039489161485,0.0068685926949118995,0.06342855552386739,0.012184866345421505,10
imbalanced,scratch,sgd,asyco_divmix,0.3,0.41876706320325585,0.04366971852906669,0.14529373606729956,0.023276736893781843,0.0543321877198928,0.009781866496891556,0.8078500611440219,0.02823745947866887,0.09289647436769678,0.00539623963282436,0.22771056231582848,0.0193723771809428,0.2996281421984233,0.004213046599640937,0.24510073701879068,0.02584067003525137,0.3096689299038601,0.11542855407458198,0.11677911009864164,0.06725371620191997,0.04331534363650214,0.028614781333580138,0.23819089431186025,0.041918108342467855,0.001473983574781926,0.0025738556707125796,0.06252715392666014,0.010701727478871246,10
imbalanced,scratch,sgd,asyco_divmix,0.4,0.4135060708468905,0.04451596908927552,0.1531118227864225,0.03913816989007469,0.0823848975692042,0.06469431499556275,0.7848364435954096,0.030980039276460796,0.10220429289283246,0.030046220650509492,0.22333792187138174,0.036015627129620975,0.3981407109921166,0.005996252371423116,0.23294134360603475,0.06494298637794076,0.40179398492440266,0.0949032904538059,0.0699320186277482,0.05849086747133079,0.05415963594321631,0.03734990353139801,0.2130187508517695,0.06297649266845173,0.04440870407798769,0.07789483741898558,0.05552832147379837,0.012611590435975286,10
imbalanced,scratch,sgd,asyco_divmix,0.5,0.38263002116117384,0.04670260182298356,0.12442594742736372,0.022593114361281225,0.051221638789150495,0.0176572007923371,0.7690331819273746,0.02562607825226506,0.08536207643741511,0.017250217697332773,0.20946240513935588,0.019409234690348134,0.4985869403540086,0.005316974215262829,0.20274057851657662,0.038968226851365306,0.3057433437133418,0.0983866448362451,0.057181405258288874,0.044280378524438606,0.04377927800421364,0.037958783213515,0.19885914139831454,0.06718849648539413,0.011959145712212817,0.01837243516093032,0.05071873938859789,0.010049469998062922,10
imbalanced,scratch,sgd,baseline,0.0,0.6587106132492744,0.03779239510043887,0.4331655113050579,0.025378742714859397,0.6191064732035377,0.019316712415906465,0.8966689465871246,0.015613349483547076,,,,,0.0,0.0,0.3410342123002288,0.040445119965900764,0.5462341185575336,0.046784497583536734,0.4087237112929438,0.04980578204139107,0.19414237332807344,0.07474059270173802,0.34994118458470447,0.032742042332831796,0.7021778830167236,0.020222038746019695,0.4899050960551975,0.08547299414753143,10
imbalanced,scratch,sgd,baseline,0.1,0.5551929308050496,0.026596894106155098,0.20499191106300926,0.013987786285093822,0.08164583108216729,0.007069992189454748,0.841304905916507,0.013441503004317215,0.1099828352141669,0.007874737740903661,0.4659592062174232,0.02694636500948671,0.12763647181317864,0.00294283418166978,0.2477915237410088,0.030998910703973395,0.4045783567637023,0.04021522781922246,0.35832726293970935,0.07384030615349761,0.09463042342930567,0.03475763834727984,0.22755822740696377,0.03210217208856666,0.0007393715341959334,0.0015587320567681476,0.10131821162617916,0.025332118424868915,10
imbalanced,scratch,sgd,baseline,0.2,0.5236766807693753,0.04037986882779479,0.1844699652650296,0.015272090320421951,0.07335197029727833,0.007549033170346831,0.8273444887717893,0.020501282497753254,0.10410634931903413,0.006758774664963481,0.43470098527022805,0.025112361939689822,0.20504239178937972,0.0032717851844510596,0.2228563358680832,0.02815237542274433,0.3630934628352688,0.034522535375930086,0.313473021385537,0.06027601112684908,0.0793784580092224,0.019521280228329805,0.22082827128881913,0.026583708246245612,0.0,0.0,0.09166020746827673,0.01972262160185286,10
imbalanced,scratch,sgd,baseline,0.3,0.508391264508009,0.03278880795234525,0.17440977807676117,0.015251623001511396,0.06847822537421054,0.008867470848409704,0.821964173309176,0.017816726806878104,0.09433460359810494,0.0062149214138707,0.38806938529616536,0.020573108918454066,0.2996281421984233,0.004213046599640937,0.2093256237557363,0.018174754848345902,0.37920387452777454,0.05159031552759739,0.28529105725535525,0.08333819616186816,0.07058920920617177,0.012778509236261065,0.1941700634966971,0.045247250774984045,0.0,0.0,0.08228861829559328,0.019287448872453875,10
imbalanced,scratch,sgd,baseline,0.4,0.4818698654012521,0.04238625993352686,0.15284738507665463,0.014281519956532292,0.057891316468289246,0.006960830685090652,0.8059218646225798,0.011532312428502252,0.08531196502503682,0.0038149770684317574,0.35907546565688914,0.010674943241929215,0.3981407109921166,0.005996252371423116,0.1967859730730235,0.030743982164623852,0.3405269324904436,0.0542022723047593,0.22516005894841787,0.05871856140998849,0.06597235064712167,0.012919704017411434,0.15876181513122145,0.03806350407966182,0.0003696857670979667,0.0011690490425761107,0.08235487947925635,0.01566517231936713,10
imbalanced,scratch,sgd,baseline,0.5,0.45162328368529414,0.029686253149427654,0.13422643968161202,0.015438320790109657,0.05071605973092565,0.008360265869384273,0.7938043873675243,0.01503466759362793,0.07666268877638975,0.004217106886221173,0.3175383646544171,0.015637433083681502,0.4985869403540086,0.005316974215262829,0.1805595284709879,0.0194979572162559,0.29600329854942925,0.0609139893935972,0.1839617054306119,0.05959513295805343,0.06031375615435575,0.016192019086132752,0.1386575376912469,0.04951024982025461,0.0018470646813677008,0.0026108593700419685,0.07824218679328479,0.014181222394002123,10
imbalanced,scratch,sgd,elr,0.0,0.5885947632406745,0.03543066322740544,0.30772649137972763,0.037310571425422656,0.21945464165292378,0.037884879143880244,0.8670146012642528,0.022939832515286803,,,,,0.0,0.0,0.33664630980900173,0.07547080858010188,0.5500571351837101,0.041568789398654375,0.4098156103079945,0.055499080324228074,0.03787740401138116,0.013645447799987305,0.31870502221618496,0.022102170663117805,0.15772628550352188,0.05066814735185344,0.3432576726262988,0.15980916517716856,10
imbalanced,scratch,sgd,elr,0.1,0.5512683283820785,0.037945940460156403,0.20544389774759372,0.02151120908882665,0.08250947703503855,0.011325543303818655,0.8341905882375686,0.015901058903638552,0.11045802954994162,0.009877241884135763,0.4409838483109262,0.03273917146598041,0.12763647181317864,0.00294283418166978,0.25178492510222716,0.02796286563624085,0.4152895883103563,0.04603906843626245,0.3471122440961457,0.09494238077545411,0.08317670051089177,0.023478105993641796,0.2543203432336479,0.026489040859020246,0.0,0.0,0.0864234829798875,0.0182376444219552,10
