method,dataset,init,optim,tau,fold,balanced_accuracy,macro_f1,weighted_f1,macro_auc,n_samples,nta,lnmr,n_flipped,n_train,empirical_flip_rate,per_class_f1_akiec,per_class_f1_bcc,per_class_f1_bkl,per_class_f1_df,per_class_f1_mel,per_class_f1_nv,per_class_f1_vasc
asyco_divmix,imbalanced,scratch,sgd,0.0,0,0.5219621417339464,0.22430582039033548,0.2813737026422519,0.8657815477209313,747,,,0,6723,0.0,0.2807017543859649,0.37037037037037035,0.16842105263157894,0.08433734939759036,0.2857142857142857,0.296875,0.08372093023255814
asyco_divmix,imbalanced,scratch,sgd,0.0,1,0.4657938638491573,0.22343062751378198,0.21679376805567258,0.8369770328346607,747,,,0,6723,0.0,0.36363636363636365,0.39215686274509803,0.22807017543859648,0.05223880597014925,0.25274725274725274,0.19933554817275748,0.07582938388625593
asyco_divmix,imbalanced,scratch,sgd,0.0,2,0.4946807852970276,0.1934437627605583,0.21850000698148048,0.8744626935897422,747,,,0,6723,0.0,0.30985915492957744,0.2,0.07894736842105263,0.046822742474916385,0.35036496350364965,0.22295081967213115,0.14516129032258066
asyco_divmix,imbalanced,scratch,sgd,0.0,3,0.5120986256552192,0.2566826850934608,0.16639994767452887,0.8385536741069612,747,,,0,6723,0.0,0.375,0.5161290322580645,0.34782608695652173,0.05025125628140704,0.34594594594594597,0.09473684210526316,0.06688963210702341
asyco_divmix,imbalanced,scratch,sgd,0.0,4,0.5177593751868474,0.27839645728917317,0.4412762686277916,0.857499449808989,747,,,0,6723,0.0,0.38095238095238093,0.2608695652173913,0.25862068965517243,0.06382978723404255,0.3619047619047619,0.4993103448275862,0.1232876712328767
asyco_divmix,imbalanced,scratch,sgd,0.0,5,0.5187247030778435,0.2450516102587157,0.3344941937874585,0.878653504752457,747,,,0,6723,0.0,0.35294117647058826,0.20833333333333334,0.29473684210526313,0.061224489795918366,0.2937062937062937,0.35843373493975905,0.145985401459854
asyco_divmix,imbalanced,scratch,sgd,0.0,6,0.5112431768007673,0.2641690901221326,0.41241397348688713,0.8635771530319442,747,,,0,6723,0.0,0.32653061224489793,0.41379310344827586,0.16091954022988506,0.05333333333333334,0.308411214953271,0.47191011235955055,0.11428571428571428
asyco_divmix,imbalanced,scratch,sgd,0.0,7,0.46356565861261556,0.22231640747065481,0.2525947557902544,0.8560140076231703,747,,,0,6723,0.0,0.32941176470588235,0.34782608695652173,0.24489795918367346,0.0425531914893617,0.25157232704402516,0.2504012841091493,0.08955223880597014
asyco_divmix,imbalanced,scratch,sgd,0.0,8,0.5689184657291161,0.326228396063411,0.4538612878399562,0.8985715801571821,747,,,0,6723,0.0,0.4166666666666667,0.46875,0.36942675159235666,0.06060606060606061,0.2972972972972973,0.49386084583901774,0.17699115044247787
asyco_divmix,imbalanced,scratch,sgd,0.0,9,0.5815772085035479,0.28408335471996565,0.2906364469616991,0.8635048868272419,747,,,0,6723,0.0,0.379746835443038,0.49056603773584906,0.39669421487603307,0.0975609756097561,0.2397003745318352,0.27258320126782887,0.11173184357541899
asyco_divmix,imbalanced,scratch,sgd,0.1,0,0.505783326654645,0.19862369796808202,0.07698525613611808,0.82625109243562,747,0.10864485981308411,0.24766355140186916,856,6723,0.12732411125985424,0.25925925925925924,0.4722222222222222,0.23157894736842105,0.06542056074766354,0.3015075376884422,0.0,0.06037735849056604
asyco_divmix,imbalanced,scratch,sgd,0.1,1,0.4602124101159865,0.20010152238661916,0.07536963483915825,0.7918299732813876,747,0.11150234741784038,0.2711267605633803,852,6723,0.12672913877733155,0.4375,0.32727272727272727,0.32592592592592595,0.0547945205479452,0.18045112781954886,0.0,0.07476635514018691
asyco_divmix,imbalanced,scratch,sgd,0.1,2,0.44195958930981977,0.17300021837584525,0.06525186649298237,0.8284106676820827,747,0.08189158016147635,0.17185697808535177,867,6723,0.12896028558679162,0.2786885245901639,0.38461538461538464,0.15555555555555556,0.05714285714285714,0.2878787878787879,0.0,0.04712041884816754
asyco_divmix,imbalanced,scratch,sgd,0.1,3,0.4004276428586762,0.1665880857550188,0.06649753799307995,0.8347831429020032,747,0.1180637544273908,0.2361275088547816,847,6723,0.12598542317417818,0.3300970873786408,0.27450980392156865,0.1348314606741573,0.0449438202247191,0.33497536945812806,0.0036968576709796672,0.0430622009569378
asyco_divmix,imbalanced,scratch,sgd,0.1,4,0.4029458698957802,0.15915144151294117,0.05575777768201081,0.782291317617527,747,0.08658536585365853,0.2573170731707317,820,6723,0.12196935891715008,0.4050632911392405,0.25806451612903225,0.12048192771084337,0.05063291139240506,0.23275862068965517,0.0,0.047058823529411764
asyco_divmix,imbalanced,scratch,sgd,0.1,5,0.45477370557119995,0.17390530498361848,0.07033069855470082,0.843532521066093,747,0.10332541567695962,0.22446555819477435,842,6723,0.12524170757102485,0.27184466019417475,0.3018867924528302,0.27722772277227725,0.04926108374384237,0.24644549763033174,0.0,0.0706713780918728
asyco_divmix,imbalanced,scratch,sgd,0.1,6,0.4645787962471669,0.17204507255224127,0.061225896430758805,0.8356209601117423,747,0.10206422018348624,0.2580275229357798,872,6723,0.12970400118994496,0.3076923076923077,0.3925233644859813,0.12048192771084337,0.05925925925925926,0.25984251968503935,0.0,0.06451612903225806
asyco_divmix,imbalanced,scratch,sgd,0.1,7,0.42186814561206587,0.17211626157687415,0.061015970524831036,0.8261258740833556,747,0.08181818181818182,0.20681818181818182,880,6723,0.13089394615499034,0.3037974683544304,0.43137254901960786,0.06976744186046512,0.04032258064516129,0.3016759776536313,0.0,0.05787781350482315
asyco_divmix,imbalanced,scratch,sgd,0.1,8,0.5095382974448383,0.20553830538539675,0.18788810451777846,0.8544082142750644,747,0.14752252252252251,0.21058558558558557,888,6723,0.13208389112003568,0.19801980198019803,0.42857142857142855,0.20618556701030927,0.06511627906976744,0.3013698630136986,0.1610738255033557,0.0784313725490196
asyco_divmix,imbalanced,scratch,sgd,0.1,9,0.5131562677405002,0.2201837070878607,0.08243177254942251,0.8495339355857597,747,0.10035005834305717,0.30688448074679114,857,6723,0.1274728543804849,0.34951456310679613,0.47368421052631576,0.3157894736842105,0.03636363636363636,0.2230769230769231,0.0,0.14285714285714285
asyco_divmix,imbalanced,scratch,sgd,0.2,0,0.45485554553752305,0.13357222087755696,0.04318229032037335,0.8471880884833679,747,0.07035175879396985,0.19454414931801867,1393,6723,0.20719916703852448,0.2413793103448276,0.34615384615384615,0.0273972602739726,0.05687203791469194,0.20437956204379562,0.0,0.058823529411764705
asyco_divmix,imbalanced,scratch,sgd,0.2,1,0.4464522251163205,0.1757945119921124,0.06223890519290412,0.8067643878245774,747,0.1158273381294964,0.26402877697841726,1390,6723,0.20675293767663244,0.23121387283236994,0.5384615384615384,0.16666666666666666,0.05714285714285714,0.17647058823529413,0.0,0.06060606060606061
asyco_divmix,imbalanced,scratch,sgd,0.2,2,0.4442839107336497,0.18890274604208826,0.09005342053000608,0.827859510415267,747,0.11743515850144093,0.21613832853025935,1388,6723,0.2064554514353711,0.2446043165467626,0.4383561643835616,0.24242424242424243,0.037209302325581395,0.27932960893854747,0.02181818181818182,0.058577405857740586
asyco_divmix,imbalanced,scratch,sgd,0.2,3,0.36828316350442475,0.16053669284279162,0.06447989963207211,0.7723226415094308,747,0.1099630996309963,0.25830258302583026,1355,6723,0.201546928454559,0.35051546391752575,0.22535211267605634,0.24113475177304963,0.023255813953488372,0.23880597014925373,0.0,0.0446927374301676
asyco_divmix,imbalanced,scratch,sgd,0.2,4,0.3807015717137025,0.15725659567814199,0.06438115080637562,0.7542245210925239,747,0.0955223880597015,0.22014925373134328,1340,6723,0.19931578164509892,0.2677165354330709,0.26666666666666666,0.21978021978021978,0.01932367149758454,0.2682926829268293,0.0,0.05901639344262295
asyco_divmix,imbalanced,scratch,sgd,0.2,5,0.42516243872716514,0.1592525795569219,0.0615676093963585,0.8035398345155312,747,0.11298606016140866,0.2553191489361702,1363,6723,0.20273687341960434,0.24836601307189543,0.3595505617977528,0.21311475409836064,0.014705882352941176,0.19534883720930232,0.0,0.08368200836820083
asyco_divmix,imbalanced,scratch,sgd,0.2,6,0.44817836256478355,0.15777742179144855,0.054733162938191866,0.8161222559412996,747,0.11365260900643316,0.23373838456040028,1399,6723,0.2080916257623085,0.2809917355371901,0.3917525773195876,0.07407407407407407,0.058394160583941604,0.24875621890547264,0.0,0.050473186119873815
asyco_divmix,imbalanced,scratch,sgd,0.2,7,0.42782357058572545,0.17528109006548426,0.06603679978878552,0.8232308478539475,747,0.10747330960854093,0.27686832740213524,1405,6723,0.20898408448609251,0.2595419847328244,0.4482758620689655,0.17307692307692307,0.03,0.24630541871921183,0.0,0.06976744186046512
asyco_divmix,imbalanced,scratch,sgd,0.2,8,0.5058939829929587,0.16564128051374447,0.05714680917277978,0.8628943627559869,747,0.09123563218390805,0.23275862068965517,1392,6723,0.2070504239178938,0.2542372881355932,0.43478260869565216,0.07317073170731707,0.0660377358490566,0.26229508196721313,0.0,0.06896551724137931
asyco_divmix,imbalanced,scratch,sgd,0.2,9,0.5349132726695728,0.1993140091904138,0.07442953718052803,0.8714115446410758,747,0.09632352941176471,0.24632352941176472,1360,6723,0.20229064405771233,0.3119266055045872,0.4827586206896552,0.1978021978021978,0.07048458149779736,0.2488479262672811,0.0036968576709796672,0.0796812749003984
asyco_divmix,imbalanced,scratch,sgd,0.3,0,0.4186908405760889,0.09865201406624183,0.034644733963624406,0.8075258188228966,747,0.08680725846002943,0.262873957822462,2039,6723,0.30328722296593785,0.24598930481283424,0.07407407407407407,0.02564102564102564,0.08130081300813008,0.2079207920792079,0.0036900369003690036,0.05194805194805195
asyco_divmix,imbalanced,scratch,sgd,0.3,1,0.4181568489948574,0.13459626830918794,0.04549833211211278,0.813019884860107,747,0.09801067442988841,0.21300339640950994,2061,6723,0.30655957161981257,0.24,0.273972602739726,0.0759493670886076,0.0963855421686747,0.21052631578947367,0.0,0.04534005037783375
asyco_divmix,imbalanced,scratch,sgd,0.3,2,0.45671158320097394,0.16243382849851606,0.0647318192699216,0.8200534110773333,747,0.09839357429718876,0.22339357429718876,1992,6723,0.2962962962962963,0.25,0.3925233644859813,0.15555555555555556,0.04938271604938271,0.2222222222222222,0.007352941176470588,0.06
asyco_divmix,imbalanced,scratch,sgd,0.3,3,0.3778620659688774,0.1303143332238508,0.04910024344811463,0.7613490191196028,747,0.08472906403940887,0.2354679802955665,2030,6723,0.3019485348802618,0.2777777777777778,0.18461538461538463,0.05128205128205128,0.009523809523809525,0.3225806451612903,0.0,0.06642066420664207
asyco_divmix,imbalanced,scratch,sgd,0.3,4,0.3614596431191566,0.13650731458515003,0.054705755521069516,0.7912016971943411,747,0.09569620253164557,0.22177215189873417,1975,6723,0.2937676632455749,0.19858156028368795,0.2702702702702703,0.12121212121212122,0.017094017094017096,0.2926829268292683,0.0,0.055710306406685235
