method,tau,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi,residual,residual_lo,residual_hi,n
baseline,0.1,0.11942386904412479,0.1138841738690615,0.12467181865001527,0.6930969105237256,0.673894212702592,0.7112230432949621,0.1874792204321496,0.1692644350244802,0.20569862910313655,10
baseline,0.2,0.11605336431217203,0.11074951855798745,0.12053858139904694,0.6625335167439205,0.6471839534337688,0.6775327111817531,0.22141311894390753,0.20615334089856918,0.2368197552122243,10
baseline,0.3,0.10928092620513126,0.10665498909173145,0.11193792995363626,0.6198144231055635,0.6126718707567488,0.6272439158297507,0.2709046506893054,0.2636361498489954,0.27691442368514796,10
baseline,0.4,0.10240240400842884,0.0996505417566407,0.10531806043467028,0.5703172762678367,0.5574612781379008,0.5823347782837659,0.3272803197237345,0.3141389594667686,0.34156281643150266,10
baseline,0.5,0.10015132236624232,0.09730531580075683,0.10347975883214756,0.5268562850402962,0.5172426889137004,0.5366182604585538,0.37299239259346156,0.36196236120046493,0.38371446368296724,10
sce,0.1,0.45621243444126336,0.44027801192159494,0.4702380574900451,0.4742463287088811,0.45960225824027745,0.4902997330615658,0.06954123684985557,0.06250878675530944,0.07788831533578423,10
sce,0.2,0.38714311698924747,0.37210672781364834,0.4027967915635567,0.5021718851633556,0.4891006126585874,0.5159758204975183,0.11068499784739685,0.10189824523980144,0.11943305113168172,10
sce,0.3,0.32610592076579153,0.31076830504162933,0.34299500604587796,0.5134986825727597,0.49933441915603477,0.5269901476969022,0.1603953966614488,0.15232705624792212,0.16785437781032958,10
sce,0.4,0.23035273312055046,0.2135023050289544,0.24558456383404023,0.5335460908924062,0.5173201540476875,0.5499966448063979,0.23610117598704322,0.22296227716538294,0.249334105640851,10
sce,0.5,0.16718690760362642,0.15374522814836938,0.1813437164521563,0.5499470523692933,0.5341562730976702,0.5658844652731876,0.2828660400270803,0.2754714680522871,0.2903705068775447,10
elr,0.1,0.11894925414798493,0.1140715769099273,0.12394621750994149,0.6676709434965928,0.6388505967118908,0.6916752098950771,0.21337980235542225,0.19043753276176545,0.24145865608797107,10
elr,0.2,0.1196071668698521,0.11581070101858913,0.12322431947643647,0.6470289372013648,0.6322896234613062,0.6608910881909777,0.2333638959287832,0.21859940571459877,0.24829888436231598,10
elr,0.3,0.10819341402247125,0.10625740880396858,0.11038137921929134,0.5999963898671883,0.5922594794633876,0.6074590472469029,0.2918101961103404,0.28390176573276715,0.30018428386950463,10
elr,0.4,0.09878316684490027,0.09538423511687977,0.1028605397838806,0.5439300024565747,0.5265392974320453,0.5572476599810444,0.35728683069852496,0.3419353311024526,0.37649441167509146,10
elr,0.5,0.08700391926393523,0.084558640693526,0.08910968069821952,0.49911484917447246,0.4822955129866919,0.5173016489323431,0.41388123156159223,0.3944363430290381,0.4318208551853262,10
asyco_divmix,0.1,0.2320873904307253,0.20385882424393828,0.257030465804686,0.31159368938226717,0.29593657277906954,0.3262037141395521,0.4563189201870075,0.4277010863883094,0.4953467649903535,10
asyco_divmix,0.2,0.20892945462176846,0.19222143298752062,0.22778303491847568,0.32211014915986913,0.30455394622951415,0.3390513205316294,0.46896039621836244,0.4441458154111321,0.4926135323349949,10
asyco_divmix,0.3,0.17639426550858378,0.15810778668274408,0.19561875586030245,0.2977076852915426,0.2824413549332404,0.31668505216019965,0.5258980491998736,0.502439472808535,0.5466507716202085,10
asyco_divmix,0.4,0.15915347149885384,0.14328164293779505,0.17688554151540095,0.3197662972017047,0.30528704542075497,0.33276837280647886,0.5210802312994415,0.502714032210026,0.5357360992630213,10
asyco_divmix,0.5,0.15048652862597997,0.1374381609637956,0.16530076060149712,0.29995155804615997,0.280495706132803,0.31579478332208005,0.5495619133278601,0.5288516106145852,0.5751884003415432,10
