metric,tau,best,next,best_mean,next_mean,direction,delta,ci_lo,ci_hi,r_rb,W,p_raw,p_perm,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
BA,0.1,SCE,ELR,0.7121463243029715,0.6129771257511152,1,0.0991691985518563,0.0858361002433433,0.1130319704999901,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
BA,0.2,SCE,ELR,0.6682637986711761,0.6103851095281267,1,0.0578786891430492,0.0344262194335292,0.077998946772031,0.9636363636363636,1.0,0.00390625,0.00390625,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,0.3,SCE,ELR,0.6105454415874412,0.55997265185663,1,0.0505727897308111,0.0387330852967709,0.0615149041649471,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
BA,0.4,SCE,AsyCo,0.5751492869566317,0.5330609075868331,1,0.0420883793697985,0.0210854207084158,0.0619779342559016,0.8909090909090909,3.0,0.009765625,0.0078125,0.01953125,0.015625,+*,+*,True,,0.01953125
BA,0.5,SCE,AsyCo,0.5428419666486621,0.5115882537145033,1,0.0312537129341587,0.0014649682249495,0.0606670397108274,0.5636363636363637,12.0,0.130859375,0.08203125,0.130859375,0.08203125,n.s.,n.s.,True,,0.130859375
MacroF1,0.1,SCE,AsyCo,0.5014724883731895,0.2873395095130978,1,0.2141329788600917,0.1939745339520275,0.2339824363037395,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
MacroF1,0.2,SCE,AsyCo,0.4157512302872563,0.2579827069428784,1,0.1577685233443779,0.1457854761706561,0.1693404800086495,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
MacroF1,0.3,SCE,AsyCo,0.345033621161518,0.2252607079770204,1,0.1197729131844976,0.1055662024467914,0.1327216880723201,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
MacroF1,0.4,SCE,AsyCo,0.2769500440490309,0.2078932371446727,1,0.0690568069043582,0.0479677796433598,0.0892058872570486,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
MacroF1,0.5,SCE,AsyCo,0.2333112946007428,0.1919858409019544,1,0.0413254536987883,0.0312494357507447,0.0516328530054345,1.0,0.0,0.001953125,0.001953125,0.009765625,0.009765625,+**,+**,True,,0.009765625
MacroAUC,0.3,SCE,AsyCo,0.8650209675987002,0.8484096635680165,1,0.0166113040306836,0.0065769742185736,0.0265285901607545,0.8181818181818181,5.0,0.01953125,0.017578125,0.05859375,0.052734375,n.s.,n.s.,True,,0.05859375
MacroAUC,0.4,AsyCo,SCE,0.8396838860475265,0.8356316313843329,1,0.0040522546631935,-0.0042052779676805,0.0121788401387536,0.3818181818181818,17.0,0.322265625,0.3671875,0.46484375,0.4921875,n.s.,n.s.,True,,0.46484375
MacroAUC,0.5,AsyCo,SCE,0.8248361489283262,0.8190383460075473,1,0.0057978029207787,-0.0031290521778192,0.0143286770381961,0.4545454545454546,15.0,0.232421875,0.24609375,0.46484375,0.4921875,n.s.,n.s.,True,,0.46484375
