metric,method,tau,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
BA,SCE,0.0,10,0.004998038439617503,-0.015340971452552392,0.024955047479535985,23.0,0.6953125,0.6484375,0.1636363636363637,1,10000,True,0.004998038439617503,0.6953125,0.6953125,0.6484375,n.s.,n.s.,True,,0.6953125
BA,SCE,0.1,10,0.10270973463111847,0.08547170107955082,0.11805825720724951,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.10270973463111847,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,SCE,0.2,10,0.06587362472021444,0.03639180043629846,0.08985737659231977,2.0,0.005859375,0.005859375,0.9272727272727272,1,10000,True,0.06587362472021444,0.005859375,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,SCE,0.3,10,0.06761930282315273,0.04938734161763617,0.08741944545250546,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06761930282315273,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,SCE,0.4,10,0.051875713953217786,0.03769426196789291,0.06642912700788561,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.051875713953217786,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,SCE,0.5,10,0.060468121849239366,0.031808301282526964,0.08873702320339734,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.060468121849239366,0.00390625,0.01171875,0.01171875,+*,+*,True,,0.01171875
BA,ELR,0.0,10,-0.07762413314170949,-0.10170332429994706,-0.05092518882571413,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,-0.07762413314170949,0.00390625,0.0234375,0.0234375,-*,-*,True,,0.0234375
BA,ELR,0.1,10,0.0035405360792621467,-0.009060827836674475,0.016177189400003053,20.0,0.4921875,0.61328125,0.2727272727272727,1,10000,True,0.0035405360792621467,0.4921875,1.0,1.0,n.s.,n.s.,True,,1.0
BA,ELR,0.2,10,0.007994935577165208,-0.005918852563868636,0.023127332773185395,19.0,0.431640625,0.328125,0.3090909090909091,1,10000,True,0.007994935577165208,0.431640625,1.0,1.0,n.s.,n.s.,True,,1.0
BA,ELR,0.3,10,0.017046513092341557,-0.0033195150383564845,0.037644320624036214,16.0,0.275390625,0.154296875,0.4181818181818182,1,10000,True,0.017046513092341557,0.275390625,1.0,0.771484375,n.s.,n.s.,True,,1.0
BA,ELR,0.4,10,-0.002932863450383255,-0.019700342183934745,0.011529261654557149,25.0,0.845703125,0.73828125,-0.09090909090909094,-1,10000,True,-0.002932863450383255,0.845703125,1.0,1.0,n.s.,n.s.,True,,1.0
BA,ELR,0.5,10,0.00876477571495649,-0.01090531615449587,0.03100394055630491,23.0,0.6953125,0.4765625,0.1636363636363637,1,10000,True,0.00876477571495649,0.6953125,1.0,1.0,n.s.,n.s.,True,,1.0
BA,AsyCo,0.0,10,-0.09008685560622745,-0.12060414098717391,-0.059905590600535366,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.09008685560622745,0.001953125,0.01171875,0.01171875,-*,-*,True,,0.01171875
BA,AsyCo,0.1,10,-0.022874080624944487,-0.0493852002527985,0.0015647847738310663,16.0,0.275390625,0.142578125,-0.4181818181818182,-1,10000,True,-0.022874080624944487,0.275390625,0.826171875,0.427734375,n.s.,n.s.,True,,0.826171875
BA,AsyCo,0.2,10,-0.0394088168816923,-0.07086674420118895,-0.007926551760667318,8.0,0.048828125,0.052734375,-0.7090909090909091,-1,10000,True,-0.0394088168816923,0.048828125,0.1953125,0.2109375,n.s.,n.s.,True,,0.1953125
BA,AsyCo,0.3,10,-0.0037246954716239787,-0.032422672296531355,0.02622182111641155,25.0,0.845703125,0.826171875,-0.09090909090909094,-1,10000,True,-0.0037246954716239787,0.845703125,0.86328125,0.826171875,n.s.,n.s.,True,,0.86328125
BA,AsyCo,0.4,10,0.0097873345834192,-0.007277898210934965,0.027054536846439676,19.0,0.431640625,0.30859375,0.3090909090909091,1,10000,True,0.0097873345834192,0.431640625,0.86328125,0.6171875,n.s.,n.s.,True,,0.86328125
BA,AsyCo,0.5,10,0.029214408915080592,0.011304608467711016,0.048303654849375155,5.0,0.01953125,0.015625,0.8181818181818181,1,10000,True,0.029214408915080592,0.01953125,0.09765625,0.078125,n.s.,n.s.,True,,0.09765625
