metric,method,tau,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
BA,SCE,0.1,10,-0.04228301016006325,-0.06308483169221164,-0.021046063432372322,3.0,0.009765625,0.0078125,-0.8909090909090909,-1,10000,True,-0.04228301016006325,0.009765625,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,SCE,0.2,10,-0.08616553579185858,-0.10477730391278225,-0.06884897842382734,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.08616553579185858,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,SCE,0.3,10,-0.14388389287559353,-0.1709679375732786,-0.11656428524984028,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.14388389287559353,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,SCE,0.4,10,-0.17928004750640297,-0.21032202981761935,-0.14727941906096453,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.17928004750640297,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,SCE,0.5,10,-0.21158736781437257,-0.23421601477064355,-0.18812990840021343,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.21158736781437257,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,ELR,0.1,10,-0.058830037130592594,-0.0839613132300633,-0.034445120052282986,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.058830037130592594,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,ELR,0.2,10,-0.06142205335358082,-0.09548804946523885,-0.029163420537766604,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,-0.06142205335358082,0.005859375,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,ELR,0.3,10,-0.11183451102507773,-0.14704151675169622,-0.07963788258550548,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.11183451102507773,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,ELR,0.4,10,-0.151466453328677,-0.1866492948251483,-0.11734669746220547,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.151466453328677,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
BA,ELR,0.5,10,-0.18066854236732846,-0.20506754154460824,-0.1579702654686757,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,-0.18066854236732846,0.001953125,0.009765625,0.009765625,-**,-**,True,,0.009765625
