protocol,metric,tau,best_method,next_method,exploratory,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,mean_delta,p_raw,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_holm
AP,BA,0.0,SCE,baseline,True,10,0.004998038439617503,-0.014880716585163767,0.0252177320048851,23.0,0.6953125,0.6484375,0.1636363636363637,1,10000,True,0.004998038439617503,0.6953125,0.6953125,0.6484375,n.s.,n.s.,True,,0.6953125
AP,BA,0.1,SCE,ELR,True,10,0.09916919855185632,0.08591230168212743,0.11298624681996874,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.09916919855185632,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,BA,0.2,SCE,ELR,True,10,0.05787868914304922,0.033989104719004605,0.07779249636813233,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.05787868914304922,0.00390625,0.015625,0.015625,+*,+*,True,,0.015625
AP,BA,0.3,SCE,ELR,True,10,0.05057278973081118,0.03855658799619917,0.06114734050502176,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.05057278973081118,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,BA,0.4,SCE,AsyCo,True,10,0.04208837936979858,0.021370957678826987,0.06127048155538586,3.0,0.009765625,0.0078125,0.8909090909090909,1,10000,True,0.04208837936979858,0.009765625,0.029296875,0.0234375,+*,+*,True,,0.029296875
AP,BA,0.5,SCE,AsyCo,True,10,0.031253712934158774,0.0016709819533505476,0.06062040904424061,12.0,0.130859375,0.08203125,0.5636363636363637,1,10000,True,0.031253712934158774,0.130859375,0.26171875,0.1640625,n.s.,n.s.,True,,0.26171875
AP,MacroF1,0.0,SCE,baseline,True,10,0.10394140516313607,0.08543113517408395,0.12126910954668875,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.10394140516313607,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroF1,0.1,SCE,AsyCo,True,10,0.2141329788600917,0.1938691475556516,0.2342464142614617,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.2141329788600917,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroF1,0.2,SCE,AsyCo,True,10,0.1577685233443779,0.14563606316411515,0.1690623973899603,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.1577685233443779,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroF1,0.3,SCE,AsyCo,True,10,0.11977291318449763,0.10558285533625159,0.1330323679435902,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.11977291318449763,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroF1,0.4,SCE,AsyCo,True,10,0.06905680690435821,0.04759541087095155,0.08941003073643401,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.06905680690435821,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroF1,0.5,SCE,AsyCo,True,10,0.04132545369878837,0.031175157386903386,0.05161242534422391,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.04132545369878837,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroAUC,0.0,SCE,baseline,True,10,0.01393713776038974,0.009820680352898533,0.018021944001803444,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01393713776038974,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroAUC,0.1,SCE,baseline,True,10,0.03179378421920798,0.02542592417055712,0.03902452299655877,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.03179378421920798,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroAUC,0.2,SCE,baseline,True,10,0.027657912385133897,0.022002056691838103,0.03288373691063575,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.027657912385133897,0.001953125,0.01171875,0.01171875,+*,+*,True,,0.01171875
AP,MacroAUC,0.3,SCE,AsyCo,True,10,0.016611304030683626,0.006503025021644428,0.02673416177280438,5.0,0.01953125,0.017578125,0.8181818181818181,1,10000,True,0.016611304030683626,0.01953125,0.05859375,0.052734375,n.s.,n.s.,True,,0.05859375
AP,MacroAUC,0.4,AsyCo,SCE,True,10,0.0040522546631935105,-0.004470491305682794,0.012106532817838443,17.0,0.322265625,0.3671875,0.38181818181818183,1,10000,True,0.0040522546631935105,0.322265625,0.46484375,0.4921875,n.s.,n.s.,True,,0.46484375
AP,MacroAUC,0.5,AsyCo,SCE,True,10,0.005797802920778772,-0.003374043228796371,0.014208440110501479,15.0,0.232421875,0.24609375,0.4545454545454546,1,10000,True,0.005797802920778772,0.232421875,0.46484375,0.4921875,n.s.,n.s.,True,,0.46484375
