protocol,method,tau,fold,epoch,nta,lnmr
A,AsyCo,0.1,0,0,0.04088785046728972,0.19158878504672897
A,AsyCo,0.1,0,30,0.09228971962616822,0.20093457943925233
A,AsyCo,0.1,0,60,0.0969626168224299,0.2371495327102804
A,AsyCo,0.1,0,90,0.11098130841121495,0.2161214953271028
A,AsyCo,0.1,0,120,0.12383177570093458,0.23481308411214954
A,AsyCo,0.1,0,149,0.12967289719626168,0.23598130841121495
A,AsyCo,0.1,1,0,0.015258215962441314,0.057511737089201875
A,AsyCo,0.1,1,30,0.1056338028169014,0.19131455399061034
A,AsyCo,0.1,1,60,0.09859154929577464,0.17136150234741784
A,AsyCo,0.1,1,90,0.09154929577464789,0.1772300469483568
A,AsyCo,0.1,1,120,0.12793427230046947,0.19131455399061034
A,AsyCo,0.1,1,149,0.15023474178403756,0.215962441314554
A,AsyCo,0.1,2,0,0.02306805074971165,0.08189158016147635
A,AsyCo,0.1,2,30,0.10265282583621683,0.2029988465974625
A,AsyCo,0.1,2,60,0.08765859284890427,0.21568627450980393
A,AsyCo,0.1,2,90,0.09803921568627451,0.23760092272202998
A,AsyCo,0.1,2,120,0.10380622837370242,0.23760092272202998
A,AsyCo,0.1,2,149,0.09688581314878893,0.18915801614763553
A,AsyCo,0.1,3,0,0.0295159386068477,0.08264462809917356
A,AsyCo,0.1,3,30,0.1345926800472255,0.24203069657615112
A,AsyCo,0.1,3,60,0.12278630460448642,0.21723730814639905
A,AsyCo,0.1,3,90,0.1204250295159386,0.2101534828807556
A,AsyCo,0.1,3,120,0.17119244391971664,0.2632821723730815
A,AsyCo,0.1,3,149,0.1357733175914994,0.20188902007083825
A,AsyCo,0.1,4,0,0.01707317073170732,0.07317073170731707
A,AsyCo,0.1,4,30,0.14268292682926828,0.18170731707317073
A,AsyCo,0.1,4,60,0.17317073170731706,0.21829268292682927
A,AsyCo,0.1,4,90,0.20609756097560974,0.19878048780487806
A,AsyCo,0.1,4,120,0.17560975609756097,0.20609756097560974
A,AsyCo,0.1,4,149,0.1926829268292683,0.20121951219512196
A,AsyCo,0.1,5,0,0.019002375296912115,0.06769596199524941
A,AsyCo,0.1,5,30,0.11995249406175772,0.2042755344418052
A,AsyCo,0.1,5,60,0.13895486935866982,0.19002375296912113
A,AsyCo,0.1,5,90,0.1021377672209026,0.2173396674584323
A,AsyCo,0.1,5,120,0.0688836104513064,0.19477434679334918
A,AsyCo,0.1,5,149,0.09738717339667459,0.21971496437054633
A,AsyCo,0.1,6,0,0.013761467889908258,0.06077981651376147
A,AsyCo,0.1,6,30,0.08371559633027523,0.1731651376146789
A,AsyCo,0.1,6,60,0.09403669724770643,0.19839449541284404
A,AsyCo,0.1,6,90,0.11123853211009174,0.22247706422018348
A,AsyCo,0.1,6,120,0.1158256880733945,0.23279816513761467
A,AsyCo,0.1,6,149,0.08486238532110092,0.1720183486238532
A,AsyCo,0.1,7,0,0.04659090909090909,0.07727272727272727
A,AsyCo,0.1,7,30,0.09659090909090909,0.18636363636363637
A,AsyCo,0.1,7,60,0.09318181818181819,0.2159090909090909
A,AsyCo,0.1,7,90,0.09431818181818181,0.22272727272727272
A,AsyCo,0.1,7,120,0.12045454545454545,0.2340909090909091
A,AsyCo,0.1,7,149,0.0875,0.20795454545454545
A,AsyCo,0.1,8,0,0.0518018018018018,0.11373873873873874
A,AsyCo,0.1,8,30,0.11148648648648649,0.17567567567567569
A,AsyCo,0.1,8,60,0.10022522522522523,0.18018018018018017
A,AsyCo,0.1,8,90,0.12274774774774774,0.21846846846846846
A,AsyCo,0.1,8,120,0.13851351351351351,0.22972972972972974
A,AsyCo,0.1,8,149,0.12274774774774774,0.22297297297297297
A,AsyCo,0.1,9,0,0.029171528588098017,0.08634772462077013
A,AsyCo,0.1,9,30,0.12485414235705951,0.22403733955659277
A,AsyCo,0.1,9,60,0.10385064177362893,0.18786464410735124
A,AsyCo,0.1,9,90,0.12718786464410736,0.20653442240373396
A,AsyCo,0.1,9,120,0.19136522753792298,0.22753792298716452
A,AsyCo,0.1,9,149,0.16686114352392065,0.22753792298716452
A,AsyCo,0.2,0,0,0.013639626704953339,0.0624551328068916
A,AsyCo,0.2,0,30,0.09117013639626705,0.16511127063890882
A,AsyCo,0.2,0,60,0.10050251256281408,0.20100502512562815
A,AsyCo,0.2,0,90,0.09188801148600144,0.19095477386934673
A,AsyCo,0.2,0,120,0.09188801148600144,0.19597989949748743
A,AsyCo,0.2,0,149,0.10337401292175162,0.2189519023689878
A,AsyCo,0.2,1,0,0.045323741007194246,0.08057553956834532
A,AsyCo,0.2,1,30,0.1079136690647482,0.18489208633093526
A,AsyCo,0.2,1,60,0.10359712230215827,0.19136690647482013
A,AsyCo,0.2,1,90,0.10143884892086331,0.1884892086330935
A,AsyCo,0.2,1,120,0.11654676258992806,0.1920863309352518
A,AsyCo,0.2,1,149,0.11438848920863309,0.19280575539568345
A,AsyCo,0.2,2,0,0.04250720461095101,0.19740634005763688
A,AsyCo,0.2,2,30,0.08069164265129683,0.18227665706051874
A,AsyCo,0.2,2,60,0.11527377521613832,0.1844380403458213
A,AsyCo,0.2,2,90,0.14121037463976946,0.2132564841498559
A,AsyCo,0.2,2,120,0.12680115273775217,0.2154178674351585
A,AsyCo,0.2,2,149,0.12463976945244956,0.20389048991354466
A,AsyCo,0.2,3,0,0.017712177121771217,0.07084870848708487
A,AsyCo,0.2,3,30,0.0952029520295203,0.25166051660516603
A,AsyCo,0.2,3,60,0.0981549815498155,0.21033210332103322
A,AsyCo,0.2,3,90,0.1070110701107011,0.2118081180811808
A,AsyCo,0.2,3,120,0.10922509225092251,0.21476014760147602
A,AsyCo,0.2,3,149,0.11586715867158671,0.22361623616236162
A,AsyCo,0.2,4,0,0.015671641791044775,0.06791044776119402
A,AsyCo,0.2,4,30,0.11791044776119403,0.20970149253731343
A,AsyCo,0.2,4,60,0.1373134328358209,0.25223880597014925
A,AsyCo,0.2,4,90,0.14328358208955225,0.2626865671641791
A,AsyCo,0.2,4,120,0.14328358208955225,0.2656716417910448
A,AsyCo,0.2,4,149,0.13507462686567165,0.2373134328358209
A,AsyCo,0.2,5,0,0.016874541452677916,0.0880410858400587
A,AsyCo,0.2,5,30,0.08437270726338958,0.1672780630961115
A,AsyCo,0.2,5,60,0.10564930300807043,0.20836390315480557
A,AsyCo,0.2,5,90,0.08730741012472487,0.19148936170212766
A,AsyCo,0.2,5,120,0.1107850330154072,0.23991195891415995
A,AsyCo,0.2,5,149,0.11518708730741012,0.23771093176815847
A,AsyCo,0.2,6,0,0.02573266619013581,0.1043602573266619
A,AsyCo,0.2,6,30,0.10078627591136526,0.2065761258041458
A,AsyCo,0.2,6,60,0.09864188706218728,0.21300929235167976
A,AsyCo,0.2,6,90,0.09935668334524661,0.2215868477483917
A,AsyCo,0.2,6,120,0.11579699785561115,0.2516082916368835
A,AsyCo,0.2,6,149,0.11365260900643316,0.22944960686204433
A,AsyCo,0.2,7,0,0.021352313167259787,0.07615658362989323
A,AsyCo,0.2,7,30,0.11316725978647686,0.21779359430604983
A,AsyCo,0.2,7,60,0.10462633451957296,0.2291814946619217
A,AsyCo,0.2,7,90,0.1195729537366548,0.2619217081850534
A,AsyCo,0.2,7,120,0.11814946619217082,0.27686832740213524
A,AsyCo,0.2,7,149,0.10177935943060498,0.25551601423487547
A,AsyCo,0.2,8,0,0.03089080459770115,0.11494252873563218
A,AsyCo,0.2,8,30,0.08548850574712644,0.20761494252873564
A,AsyCo,0.2,8,60,0.09698275862068965,0.28376436781609193
A,AsyCo,0.2,8,90,0.09698275862068965,0.23563218390804597
A,AsyCo,0.2,8,120,0.10272988505747127,0.2557471264367816
A,AsyCo,0.2,8,149,0.09123563218390805,0.21192528735632185
A,AsyCo,0.2,9,0,0.026470588235294117,0.09117647058823529
A,AsyCo,0.2,9,30,0.0875,0.22058823529411764
A,AsyCo,0.2,9,60,0.11102941176470588,0.21029411764705883
A,AsyCo,0.2,9,90,0.09558823529411764,0.1676470588235294
A,AsyCo,0.2,9,120,0.13823529411764707,0.26176470588235295
A,AsyCo,0.2,9,149,0.09779411764705882,0.20441176470588235
A,AsyCo,0.3,0,0,0.024521824423737126,0.07062285434036292
A,AsyCo,0.3,0,30,0.07650809220205983,0.17263364394310937
A,AsyCo,0.3,0,60,0.08288376655223148,0.20009808729769496
A,AsyCo,0.3,0,90,0.10691515448749386,0.2246199117214321
A,AsyCo,0.3,0,120,0.09857773418342325,0.20107896027464445
A,AsyCo,0.3,0,149,0.10397253555664542,0.21137812653261404
A,AsyCo,0.3,1,0,0.035904900533721494,0.09898107714701601
A,AsyCo,0.3,1,30,0.11062590975254731,0.21591460456089276
A,AsyCo,0.3,1,60,0.09704027171276079,0.19747695293546821
A,AsyCo,0.3,1,90,0.1101407083939835,0.2440562833575934
A,AsyCo,0.3,1,120,0.09606986899563319,0.22755943716642407
A,AsyCo,0.3,1,149,0.10480349344978165,0.21348859776807375
A,AsyCo,0.3,2,0,0.027610441767068273,0.08885542168674698
A,AsyCo,0.3,2,30,0.0928714859437751,0.19377510040160642
A,AsyCo,0.3,2,60,0.10542168674698796,0.20833333333333334
A,AsyCo,0.3,2,90,0.10190763052208836,0.19176706827309237
A,AsyCo,0.3,2,120,0.10090361445783133,0.2284136546184739
A,AsyCo,0.3,2,149,0.10441767068273092,0.20682730923694778
A,AsyCo,0.3,3,0,0.034975369458128076,0.0896551724137931
A,AsyCo,0.3,3,30,0.09261083743842365,0.22364532019704433
A,AsyCo,0.3,3,60,0.09359605911330049,0.24088669950738917
A,AsyCo,0.3,3,90,0.08817733990147783,0.23596059113300494
A,AsyCo,0.3,3,120,0.10541871921182266,0.2596059113300493
A,AsyCo,0.3,3,149,0.09359605911330049,0.22216748768472908
A,AsyCo,0.3,4,0,0.017721518987341773,0.08911392405063291
A,AsyCo,0.3,4,30,0.130126582278481,0.1918987341772152
A,AsyCo,0.3,4,60,0.11594936708860759,0.17873417721518986
A,AsyCo,0.3,4,90,0.1291139240506329,0.22835443037974684
A,AsyCo,0.3,4,120,0.10734177215189873,0.2
A,AsyCo,0.3,4,149,0.08708860759493671,0.1670886075949367
A,AsyCo,0.3,5,0,0.0202122283981809,0.09297625063163213
A,AsyCo,0.3,5,30,0.0808489135927236,0.2177867609903992
A,AsyCo,0.3,5,60,0.10308236483072258,0.24759979787771602
A,AsyCo,0.3,5,90,0.09398686205154118,0.21829206670035373
A,AsyCo,0.3,5,120,0.1076301162203133,0.24759979787771602
A,AsyCo,0.3,5,149,0.07731177362304194,0.14300151591712987
A,AsyCo,0.3,6,0,0.024987751102400785,0.09309162175404213
A,AsyCo,0.3,6,30,0.07643312101910828,0.16266536011758942
A,AsyCo,0.3,6,60,0.0926016658500735,0.2278294953454189
A,AsyCo,0.3,6,90,0.08574228319451249,0.22048015678588928
A,AsyCo,0.3,6,120,0.08378245957863792,0.21558059774620283
A,AsyCo,0.3,6,149,0.07741303282704556,0.212640862322391
A,AsyCo,0.3,7,0,0.03475670307845084,0.09731876861966236
A,AsyCo,0.3,7,30,0.0759682224428997,0.18818272095332672
A,AsyCo,0.3,7,60,0.07795431976166832,0.19910625620655412
A,AsyCo,0.3,7,90,0.07944389275074479,0.2224428997020854
A,AsyCo,0.3,7,120,0.07298907646474677,0.1971201588877855
A,AsyCo,0.3,7,149,0.08490566037735849,0.22989076464746772
A,AsyCo,0.3,8,0,0.013993003498250875,0.06446776611694154
A,AsyCo,0.3,8,30,0.0814592703648176,0.17791104447776113
A,AsyCo,0.3,8,60,0.079960019990005,0.19290354822588707
A,AsyCo,0.3,8,90,0.09545227386306847,0.21139430284857572
A,AsyCo,0.3,8,120,0.10044977511244378,0.21889055472263869
A,AsyCo,0.3,8,149,0.08895552223888056,0.20389805097451275
A,AsyCo,0.3,9,0,0.032803180914512925,0.08250497017892644
A,AsyCo,0.3,9,30,0.09095427435387674,0.19731610337972166
A,AsyCo,0.3,9,60,0.08101391650099403,0.18687872763419483
