protocol,method,tau,epoch,n,nta,nta_lo,nta_hi,lnmr,lnmr_lo,lnmr_hi
A,AsyCo,0.1,0,10,0.028613130918562702,0.02102171427520662,0.037105265918114944,0.08926424312451449,0.07063947241022304,0.11534486758353667
A,AsyCo,0.1,30,10,0.11144515834822684,0.10049993686590243,0.12283325232668986,0.19825033173290357,0.1866717712101039,0.211092685589588
A,AsyCo,0.1,60,10,0.11094190470659608,0.09740941511228353,0.12827578454276017,0.20320994642193183,0.19126682443675408,0.2155741436686699
A,AsyCo,0.1,90,10,0.11847225039047168,0.103067699467115,0.1410337126780261,0.2127433330961214,0.2026652987622481,0.22177170747463684
A,AsyCo,0.1,120,10,0.13374170614230668,0.11202242146279515,0.15514024372202515,0.2252039367912248,0.21179710613077665,0.23798746463243453
A,AsyCo,0.1,149,10,0.12646081465392997,0.10619748403901116,0.14848653295312067,0.2094409052548447,0.19822375335472672,0.22053238889904875
A,AsyCo,0.2,0,10,0.02561753048789834,0.019557917456402563,0.03234872640259458,0.09538730948016341,0.07663835328557464,0.12125364014630523
A,AsyCo,0.2,30,10,0.09642035966113846,0.08919543687492004,0.10421181302936124,0.20134929842020027,0.18577651970202938,0.21738943924635956
A,AsyCo,0.2,60,10,0.10717715194419733,0.10119511461570377,0.11507512199504555,0.21839940568690103,0.20256871835969484,0.23748942121310682
A,AsyCo,0.2,90,10,0.10836399283683211,0.09759540254592293,0.12075189833473031,0.2145472312264804,0.19652258565243727,0.2335798338182696
A,AsyCo,0.2,120,10,0.1173441277392464,0.10821920782546925,0.12675109033770002,0.23698162975327314,0.21910330401701267,0.2544582984662379
A,AsyCo,0.2,149,10,0.1112992862695508,0.10378521588021847,0.11907704049474228,0.22155914216036812,0.2105692200839729,0.23280576984881127
A,AsyCo,0.3,0,10,0.026748692216179305,0.02213218984706926,0.031188416793289646,0.08675878269397565,0.07969015696009166,0.09268014457817317
A,AsyCo,0.3,30,10,0.09084067093887128,0.08160503591173318,0.10174775299794966,0.19417293931986662,0.1826277924794918,0.2062476411182512
A,AsyCo,0.3,60,10,0.09295034381473517,0.08590173765927922,0.10055545218903111,0.20798470755788467,0.19510633380469394,0.22244924189570184
A,AsyCo,0.3,90,10,0.09589715205077899,0.086076750781947,0.10627957351869444,0.21713239733272208,0.2044797593020701,0.22836421066296253
A,AsyCo,0.3,120,10,0.0972566714905578,0.09014019616163113,0.10298522848519541,0.22448550368386466,0.21159356514328398,0.23769835598128278
A,AsyCo,0.3,149,10,0.08985080930382745,0.08329115858046218,0.0965395324658904,0.19927868892792003,0.18217566974301988,0.21346001610663776
A,AsyCo,0.4,0,10,0.03858712969748773,0.028916418932226576,0.05134515595190647,0.09003650018018627,0.08235694309886944,0.09766098009507831
A,AsyCo,0.4,30,10,0.08475950342874636,0.07516349614627955,0.09366684762872945,0.1911226237140939,0.17586862495457897,0.20622197458704505
A,AsyCo,0.4,60,10,0.0815529459680029,0.07420344048742043,0.08876145712020268,0.1966148137027997,0.1850566818439491,0.20897706835074473
A,AsyCo,0.4,90,10,0.08099843063893403,0.07452625343062746,0.08741543393444298,0.2059369047272102,0.1916132270769088,0.21972702964366844
A,AsyCo,0.4,120,10,0.08176123381169917,0.07529075903563248,0.08862261529097393,0.19870025993170018,0.18253892417768627,0.21511922666116978
A,AsyCo,0.4,149,10,0.0849067808841374,0.07750849173199205,0.09252040920250611,0.21340315282723193,0.20193999701855064,0.22688110000818912
A,AsyCo,0.5,0,10,0.02766415252897899,0.022668492768884146,0.03242972011266365,0.10041501742037477,0.08966555305703865,0.11428164602513978
A,AsyCo,0.5,30,10,0.0814435055743369,0.07055836448220104,0.09813655395037316,0.17422548535574506,0.16475008129941582,0.18543151295249213
A,AsyCo,0.5,60,10,0.07381295961818439,0.0690231161668667,0.07844710981518618,0.19842281163307435,0.18879164734968237,0.20732542506763466
A,AsyCo,0.5,90,10,0.07285231591695032,0.06881942727327187,0.07790762287994916,0.19669112113003617,0.1854066792677579,0.2086007911767353
A,AsyCo,0.5,120,10,0.07743653352514045,0.07140410701537404,0.08450223611204705,0.2088867173351272,0.1945336491963277,0.22086269713631249
