protocol,method,tau,true_class,pred_class,delta_rate
S,baseline,0.2,nv,nv,-0.5439570608920969
S,baseline,0.2,nv,bkl,-0.01795298908014066
S,baseline,0.2,nv,mel,0.0379418841384416
S,baseline,0.2,nv,bcc,0.06829539144919489
S,baseline,0.2,nv,akiec,0.07310753285211918
S,baseline,0.2,nv,vasc,0.25393300018508236
S,baseline,0.2,nv,df,0.1286322413473996
S,baseline,0.2,bkl,nv,-0.023383768913342505
S,baseline,0.2,bkl,bkl,-0.1389270976616231
S,baseline,0.2,bkl,mel,-0.10866574965612105
S,baseline,0.2,bkl,bcc,0.03576341127922972
S,baseline,0.2,bkl,akiec,0.15268225584594222
S,baseline,0.2,bkl,vasc,0.026134800550206325
S,baseline,0.2,bkl,df,0.05639614855570839
S,baseline,0.2,mel,nv,-0.013029315960912053
S,baseline,0.2,mel,bkl,0.052117263843648204
S,baseline,0.2,mel,mel,-0.25570032573289897
S,baseline,0.2,mel,bcc,0.06026058631921825
S,baseline,0.2,mel,akiec,0.13029315960912055
S,baseline,0.2,mel,vasc,0.004885993485342018
S,baseline,0.2,mel,df,0.021172638436482084
S,baseline,0.2,bcc,nv,0.0
S,baseline,0.2,bcc,bkl,-0.0030581039755351695
S,baseline,0.2,bcc,mel,-0.027522935779816515
S,baseline,0.2,bcc,bcc,0.006116207951070374
S,baseline,0.2,bcc,akiec,-0.006116207951070346
S,baseline,0.2,bcc,vasc,0.009174311926605505
S,baseline,0.2,bcc,df,0.021406727828746183
S,baseline,0.2,akiec,nv,-0.0043859649122807015
S,baseline,0.2,akiec,bkl,-0.039473684210526314
S,baseline,0.2,akiec,mel,-0.05701754385964912
S,baseline,0.2,akiec,bcc,0.02631578947368421
S,baseline,0.2,akiec,akiec,0.05701754385964908
S,baseline,0.2,akiec,vasc,0.0
S,baseline,0.2,akiec,df,0.017543859649122806
S,baseline,0.2,vasc,nv,0.0
S,baseline,0.2,vasc,bkl,0.0
S,baseline,0.2,vasc,mel,0.0
S,baseline,0.2,vasc,bcc,0.030612244897959183
S,baseline,0.2,vasc,akiec,0.01020408163265306
S,baseline,0.2,vasc,vasc,-0.11224489795918369
S,baseline,0.2,vasc,df,0.07142857142857142
S,baseline,0.2,df,nv,0.0
S,baseline,0.2,df,bkl,-0.0136986301369863
S,baseline,0.2,df,mel,-0.0273972602739726
S,baseline,0.2,df,bcc,-0.0136986301369863
S,baseline,0.2,df,akiec,-0.0136986301369863
S,baseline,0.2,df,vasc,0.0273972602739726
S,baseline,0.2,df,df,0.04109589041095896
S,SCE,0.2,nv,nv,-0.3564686285397001
S,SCE,0.2,nv,bkl,0.014436424208772905
S,SCE,0.2,nv,mel,0.06699981491763835
S,SCE,0.2,nv,bcc,0.04256894317971498
S,SCE,0.2,nv,akiec,0.03016842494910235
S,SCE,0.2,nv,vasc,0.11271515824541922
S,SCE,0.2,nv,df,0.08957986303905237
S,SCE,0.2,bkl,nv,-0.04676753782668501
S,SCE,0.2,bkl,bkl,-0.0591471801925722
S,SCE,0.2,bkl,mel,-0.03713892709766162
S,SCE,0.2,bkl,bcc,0.02475928473177442
S,SCE,0.2,bkl,akiec,0.07152682255845942
S,SCE,0.2,bkl,vasc,0.009628610729023383
S,SCE,0.2,bkl,df,0.03713892709766163
S,SCE,0.2,mel,nv,-0.05863192182410423
S,SCE,0.2,mel,bkl,0.0228013029315961
S,SCE,0.2,mel,mel,-0.07491856677524422
S,SCE,0.2,mel,bcc,0.02768729641693811
S,SCE,0.2,mel,akiec,0.05863192182410425
S,SCE,0.2,mel,vasc,0.006514657980456026
S,SCE,0.2,mel,df,0.017915309446254073
S,SCE,0.2,bcc,nv,-0.009174311926605505
S,SCE,0.2,bcc,bkl,-0.027522935779816515
S,SCE,0.2,bcc,mel,-0.02446483180428135
S,SCE,0.2,bcc,bcc,0.01834862385321101
S,SCE,0.2,bcc,akiec,0.01834862385321101
S,SCE,0.2,bcc,vasc,0.01834862385321101
S,SCE,0.2,bcc,df,0.006116207951070339
S,SCE,0.2,akiec,nv,-0.017543859649122806
S,SCE,0.2,akiec,bkl,-0.05263157894736842
S,SCE,0.2,akiec,mel,-0.08771929824561404
S,SCE,0.2,akiec,bcc,0.02631578947368421
S,SCE,0.2,akiec,akiec,0.10964912280701755
S,SCE,0.2,akiec,vasc,0.0043859649122807015
S,SCE,0.2,akiec,df,0.017543859649122806
S,SCE,0.2,vasc,nv,-0.010204081632653059
S,SCE,0.2,vasc,bkl,0.02040816326530612
S,SCE,0.2,vasc,mel,0.0
S,SCE,0.2,vasc,bcc,0.030612244897959176
S,SCE,0.2,vasc,akiec,0.02040816326530612
S,SCE,0.2,vasc,vasc,-0.061224489795918324
S,SCE,0.2,vasc,df,0.0
S,SCE,0.2,df,nv,-0.0410958904109589
S,SCE,0.2,df,bkl,0.0136986301369863
S,SCE,0.2,df,mel,-0.0547945205479452
S,SCE,0.2,df,bcc,-0.0136986301369863
S,SCE,0.2,df,akiec,0.0136986301369863
S,SCE,0.2,df,vasc,-0.0136986301369863
S,SCE,0.2,df,df,0.09589041095890405
S,ELR,0.2,nv,nv,-0.08606329816768463
S,ELR,0.2,nv,bkl,-0.0012955765315565484
S,ELR,0.2,nv,mel,-0.027392189524338334
S,ELR,0.2,nv,bcc,0.054414214325374785
S,ELR,0.2,nv,akiec,0.07255228576716638
S,ELR,0.2,nv,vasc,0.25115676476031834
S,ELR,0.2,nv,df,-0.26337220062928
S,ELR,0.2,bkl,nv,-0.0041265474552957355
S,ELR,0.2,bkl,bkl,-0.10453920220082535
S,ELR,0.2,bkl,mel,-0.10729023383768913
S,ELR,0.2,bkl,bcc,0.04401650618982118
S,ELR,0.2,bkl,akiec,0.13342503438789546
S,ELR,0.2,bkl,vasc,0.01788170563961486
S,ELR,0.2,bkl,df,0.020632737276478685
S,ELR,0.2,mel,nv,-0.003257328990228013
S,ELR,0.2,mel,bkl,0.027687296416938116
S,ELR,0.2,mel,mel,-0.24592833876221493
S,ELR,0.2,mel,bcc,0.04234527687296417
S,ELR,0.2,mel,akiec,0.14495114006514656
S,ELR,0.2,mel,vasc,0.00977198697068404
S,ELR,0.2,mel,df,0.024429967426710095
S,ELR,0.2,bcc,nv,0.0
S,ELR,0.2,bcc,bkl,-0.018348623853211007
S,ELR,0.2,bcc,mel,-0.01529051987767584
S,ELR,0.2,bcc,bcc,0.033639143730886834
S,ELR,0.2,bcc,akiec,-0.012232415902140664
S,ELR,0.2,bcc,vasc,0.009174311926605505
S,ELR,0.2,bcc,df,0.003058103975535166
S,ELR,0.2,akiec,nv,0.0
S,ELR,0.2,akiec,bkl,-0.03070175438596491
S,ELR,0.2,akiec,mel,-0.05701754385964912
S,ELR,0.2,akiec,bcc,0.008771929824561403
S,ELR,0.2,akiec,akiec,0.08333333333333337
S,ELR,0.2,akiec,vasc,-0.013157894736842105
S,ELR,0.2,akiec,df,0.008771929824561403
S,ELR,0.2,vasc,nv,0.0
S,ELR,0.2,vasc,bkl,0.01020408163265306
S,ELR,0.2,vasc,mel,0.0
S,ELR,0.2,vasc,bcc,0.010204081632653059
S,ELR,0.2,vasc,akiec,0.0
S,ELR,0.2,vasc,vasc,-0.061224489795918324
S,ELR,0.2,vasc,df,0.04081632653061225
S,ELR,0.2,df,nv,0.0
S,ELR,0.2,df,bkl,0.0
S,ELR,0.2,df,mel,-0.0547945205479452
S,ELR,0.2,df,bcc,0.0
S,ELR,0.2,df,akiec,0.0136986301369863
S,ELR,0.2,df,vasc,0.0273972602739726
S,ELR,0.2,df,df,0.013698630136986356
S,AsyCo,0.2,nv,nv,-0.195446973903387
S,AsyCo,0.2,nv,bkl,-0.0005552470849528035
S,AsyCo,0.2,nv,mel,-0.014251341847121957
S,AsyCo,0.2,nv,bcc,0.0138811771238201
S,AsyCo,0.2,nv,akiec,0.04090320192485656
S,AsyCo,0.2,nv,vasc,0.1923005737553211
S,AsyCo,0.2,nv,df,-0.03683138996853602
S,AsyCo,0.2,bkl,nv,-0.033012379642365884
S,AsyCo,0.2,bkl,bkl,-0.0797799174690509
S,AsyCo,0.2,bkl,mel,-0.06740027510316368
S,AsyCo,0.2,bkl,bcc,0.04126547455295736
S,AsyCo,0.2,bkl,akiec,0.17469050894085283
S,AsyCo,0.2,bkl,vasc,0.0013755158184318994
S,AsyCo,0.2,bkl,df,-0.037138927097661645
S,AsyCo,0.2,mel,nv,-0.026058631921824105
S,AsyCo,0.2,mel,bkl,-0.00977198697068403
S,AsyCo,0.2,mel,mel,-0.15472312703583063
S,AsyCo,0.2,mel,bcc,0.017915309446254073
S,AsyCo,0.2,mel,akiec,0.21009771986970682
S,AsyCo,0.2,mel,vasc,-0.009771986970684043
S,AsyCo,0.2,mel,df,-0.02768729641693811
S,AsyCo,0.2,bcc,nv,0.0
S,AsyCo,0.2,bcc,bkl,-0.009174311926605505
S,AsyCo,0.2,bcc,mel,-0.0030581039755351695
S,AsyCo,0.2,bcc,bcc,0.10091743119266056
S,AsyCo,0.2,bcc,akiec,0.1529051987767584
S,AsyCo,0.2,bcc,vasc,-0.01834862385321101
S,AsyCo,0.2,bcc,df,-0.22324159021406725
S,AsyCo,0.2,akiec,nv,0.0
S,AsyCo,0.2,akiec,bkl,-0.017543859649122806
S,AsyCo,0.2,akiec,mel,-0.039473684210526314
S,AsyCo,0.2,akiec,bcc,0.0
S,AsyCo,0.2,akiec,akiec,0.20614035087719296
S,AsyCo,0.2,akiec,vasc,-0.0043859649122807015
S,AsyCo,0.2,akiec,df,-0.14473684210526316
S,AsyCo,0.2,vasc,nv,-0.01020408163265306
S,AsyCo,0.2,vasc,bkl,0.0
S,AsyCo,0.2,vasc,mel,0.01020408163265306
S,AsyCo,0.2,vasc,bcc,0.030612244897959183
S,AsyCo,0.2,vasc,akiec,0.030612244897959183
