protocol,method,tau,true_class,pred_class,count,rate
S,baseline,0.0,nv,nv,2939.0,0.5439570608920969
S,baseline,0.0,nv,bkl,450.0,0.0832870627429206
S,baseline,0.0,nv,mel,1139.0,0.2108088099204146
S,baseline,0.0,nv,bcc,153.0,0.028317601332593003
S,baseline,0.0,nv,akiec,222.0,0.041088284286507494
S,baseline,0.0,nv,vasc,165.0,0.03053858967240422
S,baseline,0.0,nv,df,335.0,0.062002591153063114
S,baseline,0.0,bkl,nv,17.0,0.023383768913342505
S,baseline,0.0,bkl,bkl,320.0,0.4401650618982118
S,baseline,0.0,bkl,mel,148.0,0.20357634112792297
S,baseline,0.0,bkl,bcc,49.0,0.06740027510316368
S,baseline,0.0,bkl,akiec,144.0,0.19807427785419532
S,baseline,0.0,bkl,vasc,7.0,0.009628610729023384
S,baseline,0.0,bkl,df,42.0,0.0577716643741403
S,baseline,0.0,mel,nv,8.0,0.013029315960912053
S,baseline,0.0,mel,bkl,44.0,0.07166123778501629
S,baseline,0.0,mel,mel,408.0,0.6644951140065146
S,baseline,0.0,mel,bcc,30.0,0.048859934853420196
S,baseline,0.0,mel,akiec,98.0,0.15960912052117263
S,baseline,0.0,mel,vasc,11.0,0.017915309446254073
S,baseline,0.0,mel,df,15.0,0.024429967426710098
S,baseline,0.0,bcc,nv,0.0,0.0
S,baseline,0.0,bcc,bkl,6.0,0.01834862385321101
S,baseline,0.0,bcc,mel,9.0,0.027522935779816515
S,baseline,0.0,bcc,bcc,229.0,0.7003058103975535
S,baseline,0.0,bcc,akiec,67.0,0.20489296636085627
S,baseline,0.0,bcc,vasc,5.0,0.01529051987767584
S,baseline,0.0,bcc,df,11.0,0.03363914373088685
S,baseline,0.0,akiec,nv,1.0,0.0043859649122807015
S,baseline,0.0,akiec,bkl,13.0,0.05701754385964912
S,baseline,0.0,akiec,mel,15.0,0.06578947368421052
S,baseline,0.0,akiec,bcc,37.0,0.16228070175438597
S,baseline,0.0,akiec,akiec,156.0,0.6842105263157895
S,baseline,0.0,akiec,vasc,1.0,0.0043859649122807015
S,baseline,0.0,akiec,df,5.0,0.021929824561403508
S,baseline,0.0,vasc,nv,0.0,0.0
S,baseline,0.0,vasc,bkl,0.0,0.0
S,baseline,0.0,vasc,mel,2.0,0.02040816326530612
S,baseline,0.0,vasc,bcc,4.0,0.04081632653061224
S,baseline,0.0,vasc,akiec,1.0,0.01020408163265306
S,baseline,0.0,vasc,vasc,90.0,0.9183673469387755
S,baseline,0.0,vasc,df,1.0,0.01020408163265306
S,baseline,0.0,df,nv,0.0,0.0
S,baseline,0.0,df,bkl,3.0,0.0410958904109589
S,baseline,0.0,df,mel,2.0,0.0273972602739726
S,baseline,0.0,df,bcc,12.0,0.1643835616438356
S,baseline,0.0,df,akiec,7.0,0.0958904109589041
S,baseline,0.0,df,vasc,1.0,0.0136986301369863
S,baseline,0.0,df,df,48.0,0.6575342465753424
S,baseline,0.1,nv,nv,2.0,0.00037016472330186933
S,baseline,0.1,nv,bkl,411.0,0.07606885063853415
S,baseline,0.1,nv,mel,1604.0,0.2968721080880992
S,baseline,0.1,nv,bcc,408.0,0.07551360355358135
S,baseline,0.1,nv,akiec,561.0,0.10383120488617435
S,baseline,0.1,nv,vasc,1493.0,0.27632796594484543
S,baseline,0.1,nv,df,924.0,0.17101610216546362
S,baseline,0.1,bkl,nv,0.0,0.0
S,baseline,0.1,bkl,bkl,269.0,0.3700137551581843
S,baseline,0.1,bkl,mel,82.0,0.11279229711141678
S,baseline,0.1,bkl,bcc,60.0,0.08253094910591471
S,baseline,0.1,bkl,akiec,221.0,0.30398899587345257
S,baseline,0.1,bkl,vasc,17.0,0.023383768913342505
S,baseline,0.1,bkl,df,78.0,0.10729023383768914
S,baseline,0.1,mel,nv,0.0,0.0
S,baseline,0.1,mel,bkl,72.0,0.11726384364820847
S,baseline,0.1,mel,mel,294.0,0.4788273615635179
S,baseline,0.1,mel,bcc,49.0,0.07980456026058631
S,baseline,0.1,mel,akiec,156.0,0.254071661237785
S,baseline,0.1,mel,vasc,15.0,0.024429967426710098
S,baseline,0.1,mel,df,28.0,0.04560260586319218
S,baseline,0.1,bcc,nv,0.0,0.0
S,baseline,0.1,bcc,bkl,6.0,0.01834862385321101
S,baseline,0.1,bcc,mel,2.0,0.0061162079510703364
S,baseline,0.1,bcc,bcc,226.0,0.691131498470948
