protocol,diagnostic,method,tau,class_name,value
S,perclass_f1,baseline,0.0,nv,0.7021778830167236
S,perclass_f1,baseline,0.0,bkl,0.4087237112929438
S,perclass_f1,baseline,0.0,mel,0.3499411845847045
S,perclass_f1,baseline,0.0,bcc,0.5462341185575335
S,perclass_f1,baseline,0.0,akiec,0.34103421230022873
S,perclass_f1,baseline,0.0,vasc,0.4899050960551975
S,perclass_f1,baseline,0.0,df,0.19414237332807344
S,perclass_f1,SCE,0.0,nv,0.8599601042763556
S,perclass_f1,SCE,0.0,bkl,0.5389663690394123
S,perclass_f1,SCE,0.0,mel,0.4273666214912072
S,perclass_f1,SCE,0.0,bcc,0.6130316743601657
S,perclass_f1,SCE,0.0,akiec,0.4036691953240387
S,perclass_f1,SCE,0.0,vasc,0.764740853016715
S,perclass_f1,SCE,0.0,df,0.41078127067291154
S,perclass_f1,ELR,0.0,nv,0.15772628550352188
S,perclass_f1,ELR,0.0,bkl,0.40981561030799457
S,perclass_f1,ELR,0.0,mel,0.318705022216185
S,perclass_f1,ELR,0.0,bcc,0.5500571351837101
S,perclass_f1,ELR,0.0,akiec,0.33664630980900173
S,perclass_f1,ELR,0.0,vasc,0.3432576726262988
S,perclass_f1,ELR,0.0,df,0.03787740401138116
S,perclass_f1,AsyCo,0.0,nv,0.3160397733293043
S,perclass_f1,AsyCo,0.0,bkl,0.2548560681090134
S,perclass_f1,AsyCo,0.0,mel,0.29873647173486184
S,perclass_f1,AsyCo,0.0,bcc,0.36687943920649035
S,perclass_f1,AsyCo,0.0,akiec,0.35154467094353603
S,perclass_f1,AsyCo,0.0,vasc,0.11334352563507304
S,perclass_f1,AsyCo,0.0,df,0.061275799219253566
S,perclass_f1,baseline,0.1,nv,0.0007393715341959334
S,perclass_f1,baseline,0.1,bkl,0.3583272629397093
S,perclass_f1,baseline,0.1,mel,0.22755822740696377
S,perclass_f1,baseline,0.1,bcc,0.4045783567637023
S,perclass_f1,baseline,0.1,akiec,0.24779152374100882
S,perclass_f1,baseline,0.1,vasc,0.10131821162617916
S,perclass_f1,baseline,0.1,df,0.09463042342930567
S,perclass_f1,SCE,0.1,nv,0.7160654626466666
S,perclass_f1,SCE,0.1,bkl,0.4890113008676466
S,perclass_f1,SCE,0.1,mel,0.36214460414701216
S,perclass_f1,SCE,0.1,bcc,0.5033719989014966
S,perclass_f1,SCE,0.1,akiec,0.35010309113873256
S,perclass_f1,SCE,0.1,vasc,0.2598833651993869
S,perclass_f1,SCE,0.1,df,0.18643786036435173
S,perclass_f1,ELR,0.1,nv,0.0
S,perclass_f1,ELR,0.1,bkl,0.34711224409614566
S,perclass_f1,ELR,0.1,mel,0.2543203432336479
S,perclass_f1,ELR,0.1,bcc,0.4152895883103563
S,perclass_f1,ELR,0.1,akiec,0.25178492510222716
S,perclass_f1,ELR,0.1,vasc,0.08642348297988751
S,perclass_f1,ELR,0.1,df,0.08317670051089177
S,perclass_f1,AsyCo,0.1,nv,0.016477068317433535
S,perclass_f1,AsyCo,0.1,bkl,0.19578259502730083
S,perclass_f1,AsyCo,0.1,mel,0.2669982224594186
S,perclass_f1,AsyCo,0.1,bcc,0.37447229992170983
S,perclass_f1,AsyCo,0.1,akiec,0.31414769636952117
S,perclass_f1,AsyCo,0.1,vasc,0.06867389930003864
S,perclass_f1,AsyCo,0.1,df,0.052325750913725676
S,perclass_f1,baseline,0.2,nv,0.0
S,perclass_f1,baseline,0.2,bkl,0.31347302138553695
S,perclass_f1,baseline,0.2,mel,0.22082827128881913
S,perclass_f1,baseline,0.2,bcc,0.3630934628352688
S,perclass_f1,baseline,0.2,akiec,0.2228563358680832
S,perclass_f1,baseline,0.2,vasc,0.09166020746827673
S,perclass_f1,baseline,0.2,df,0.0793784580092224
S,perclass_f1,SCE,0.2,nv,0.5832824298773437
S,perclass_f1,SCE,0.2,bkl,0.47317768925739845
S,perclass_f1,SCE,0.2,mel,0.3351209462951685
S,perclass_f1,SCE,0.2,bcc,0.46498581607429135
S,perclass_f1,SCE,0.2,akiec,0.3305907212870765
S,perclass_f1,SCE,0.2,vasc,0.19308235632035156
S,perclass_f1,SCE,0.2,df,0.13509352577528236
S,perclass_f1,ELR,0.2,nv,0.0007380073800738007
S,perclass_f1,ELR,0.2,bkl,0.3070931319691218
S,perclass_f1,ELR,0.2,mel,0.2407202364765526
S,perclass_f1,ELR,0.2,bcc,0.4063280779340257
S,perclass_f1,ELR,0.2,akiec,0.2295905145325518
S,perclass_f1,ELR,0.2,vasc,0.08429477025682305
S,perclass_f1,ELR,0.2,df,0.07566544161619317
S,perclass_f1,AsyCo,0.2,nv,0.0025515039489161485
S,perclass_f1,AsyCo,0.2,bkl,0.16286418216770238
S,perclass_f1,AsyCo,0.2,mel,0.23688318953622015
S,perclass_f1,AsyCo,0.2,bcc,0.3932110558913283
S,perclass_f1,AsyCo,0.2,akiec,0.2690493126056647
S,perclass_f1,AsyCo,0.2,vasc,0.0634285555238674
