protocol,method,tau,fold,nta,lnmr,residual
A,AsyCo,0.0,0,,,
A,AsyCo,0.0,1,,,
A,AsyCo,0.0,2,,,
A,AsyCo,0.0,3,,,
A,AsyCo,0.0,4,,,
A,AsyCo,0.0,5,,,
A,AsyCo,0.0,6,,,
A,AsyCo,0.0,7,,,
A,AsyCo,0.0,8,,,
A,AsyCo,0.0,9,,,
A,AsyCo,0.1,0,0.1296728971962616,0.2359813084112149,0.6343457943925235
A,AsyCo,0.1,1,0.1502347417840375,0.215962441314554,0.6338028169014085
A,AsyCo,0.1,2,0.0968858131487889,0.1891580161476355,0.7139561707035756
A,AsyCo,0.1,3,0.1357733175914994,0.2018890200708382,0.6623376623376623
A,AsyCo,0.1,4,0.1926829268292683,0.2012195121951219,0.6060975609756099
A,AsyCo,0.1,5,0.0973871733966745,0.2197149643705463,0.6828978622327793
A,AsyCo,0.1,6,0.0848623853211009,0.1720183486238532,0.7431192660550459
A,AsyCo,0.1,7,0.0875,0.2079545454545454,0.7045454545454546
A,AsyCo,0.1,8,0.1227477477477477,0.2229729729729729,0.6542792792792794
A,AsyCo,0.1,9,0.1668611435239206,0.2275379229871645,0.605600933488915
A,AsyCo,0.2,0,0.1033740129217516,0.2189519023689878,0.6776740847092606
A,AsyCo,0.2,1,0.114388489208633,0.1928057553956834,0.6928057553956837
A,AsyCo,0.2,2,0.1246397694524495,0.2038904899135446,0.6714697406340059
A,AsyCo,0.2,3,0.1158671586715867,0.2236162361623616,0.6605166051660517
A,AsyCo,0.2,4,0.1350746268656716,0.2373134328358209,0.6276119402985074
A,AsyCo,0.2,5,0.1151870873074101,0.2377109317681584,0.6471019809244315
A,AsyCo,0.2,6,0.1136526090064331,0.2294496068620443,0.6568977841315226
A,AsyCo,0.2,7,0.1017793594306049,0.2555160142348754,0.6427046263345197
A,AsyCo,0.2,8,0.091235632183908,0.2119252873563218,0.6968390804597703
A,AsyCo,0.2,9,0.0977941176470588,0.2044117647058823,0.6977941176470589
A,AsyCo,0.3,0,0.1039725355566454,0.211378126532614,0.6846493379107406
A,AsyCo,0.3,1,0.1048034934497816,0.2134885977680737,0.6817079087821447
A,AsyCo,0.3,2,0.1044176706827309,0.2068273092369477,0.6887550200803214
A,AsyCo,0.3,3,0.0935960591133004,0.222167487684729,0.6842364532019707
A,AsyCo,0.3,4,0.0870886075949367,0.1670886075949367,0.7458227848101266
A,AsyCo,0.3,5,0.0773117736230419,0.1430015159171298,0.7796867104598283
A,AsyCo,0.3,6,0.0774130328270455,0.212640862322391,0.7099461048505635
A,AsyCo,0.3,7,0.0849056603773584,0.2298907646474677,0.6852035749751739
A,AsyCo,0.3,8,0.0889555222388805,0.2038980509745127,0.7071464267866068
A,AsyCo,0.3,9,0.0760437375745526,0.1824055666003976,0.7415506958250497
A,AsyCo,0.4,0,0.0754073512694202,0.1871921182266009,0.7374005305039789
A,AsyCo,0.4,1,0.0922684172137126,0.2020423048869438,0.7056892778993435
A,AsyCo,0.4,2,0.0812977099236641,0.2118320610687022,0.7068702290076336
A,AsyCo,0.4,3,0.09830007390983,0.2634885439763488,0.6382113821138212
A,AsyCo,0.4,4,0.0986342943854324,0.2253414264036418,0.6760242792109259
A,AsyCo,0.4,5,0.0830552465702632,0.1954022988505747,0.7215424545791621
A,AsyCo,0.4,6,0.0716395864106351,0.2274741506646972,0.7008862629246677
A,AsyCo,0.4,7,0.104884513441878,0.1995456266565694,0.6955698599015526
A,AsyCo,0.4,8,0.0677777777777777,0.2114814814814815,0.7207407407407408
A,AsyCo,0.4,9,0.0758028379387602,0.2102315160567587,0.7139656460044811
A,AsyCo,0.5,0,0.0613533834586466,0.1849624060150376,0.7536842105263157
A,AsyCo,0.5,1,0.0851808634772462,0.1989498249708284,0.7158693115519255
A,AsyCo,0.5,2,0.0777310924369747,0.2079831932773109,0.7142857142857144
A,AsyCo,0.5,3,0.0743162901307966,0.2235434007134364,0.7021403091557671
A,AsyCo,0.5,4,0.0804563194235965,0.1999399579705794,0.7196037226058241
A,AsyCo,0.5,5,0.0780415430267062,0.187240356083086,0.7347181008902078
