protocol,method,tau,fold,source_file,BA,MacroF1,MacroAUC
A,AsyCo,0.0,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_00/test_metrics.json,0.5229319210705785,0.2780271765188891,0.8681707547166846
A,AsyCo,0.0,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_01/test_metrics.json,0.48366372213874886,0.2500154240626534,0.8680454043697984
A,AsyCo,0.0,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_02/test_metrics.json,0.48685158489795743,0.2956669667936565,0.8911923798703076
A,AsyCo,0.0,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_03/test_metrics.json,0.4881730495864704,0.2347048782938192,0.858905009173163
A,AsyCo,0.0,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_04/test_metrics.json,0.4795963029765212,0.26403531579094514,0.860726868263778
A,AsyCo,0.0,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_05/test_metrics.json,0.5373502389417405,0.2718396312314868,0.8782793761671891
A,AsyCo,0.0,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_06/test_metrics.json,0.49887336999424187,0.28427934847952324,0.8746936716676518
A,AsyCo,0.0,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_07/test_metrics.json,0.5347232379946036,0.2836972219313798,0.8772688930663304
A,AsyCo,0.0,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_08/test_metrics.json,0.49553562948636126,0.25461835075709366,0.8834900391492582
A,AsyCo,0.0,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_00/fold_09/test_metrics.json,0.5414155358336857,0.3049318972305402,0.8780620143479154
A,AsyCo,0.1,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_00/test_metrics.json,0.4629999922020244,0.16219078230732392,0.8594242102141527
A,AsyCo,0.1,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_01/test_metrics.json,0.48080281027722976,0.1842417057042874,0.8357112803287954
A,AsyCo,0.1,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_02/test_metrics.json,0.47716003599778317,0.1747927743452214,0.8725754601644429
A,AsyCo,0.1,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_03/test_metrics.json,0.4660299065639638,0.2174570564276503,0.8442507770665676
A,AsyCo,0.1,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_04/test_metrics.json,0.42673713340184266,0.1855347456826762,0.8271861377426355
A,AsyCo,0.1,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_05/test_metrics.json,0.46612942509776667,0.1817325470657695,0.8254963302107534
A,AsyCo,0.1,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_06/test_metrics.json,0.4173881729567547,0.16283943048351876,0.8546304063095879
A,AsyCo,0.1,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_07/test_metrics.json,0.4872135753769044,0.17265769679176632,0.8619431435974555
A,AsyCo,0.1,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_08/test_metrics.json,0.4008231298213068,0.15154652823142975,0.83324345579891
A,AsyCo,0.1,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_10/fold_09/test_metrics.json,0.4899724994318649,0.23412154930093126,0.8426216445536793
A,AsyCo,0.2,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_00/test_metrics.json,0.4567228983519689,0.1530052285191037,0.8457067838788169
A,AsyCo,0.2,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_01/test_metrics.json,0.45277851282441894,0.1517361910038526,0.8355734827887782
A,AsyCo,0.2,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_02/test_metrics.json,0.48288864737049103,0.18437636590465223,0.8680819106942774
A,AsyCo,0.2,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_03/test_metrics.json,0.45452227142145707,0.1899419940244786,0.8147618872575823
A,AsyCo,0.2,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_04/test_metrics.json,0.49655014715773527,0.20665882463067445,0.8228321323948445
A,AsyCo,0.2,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_05/test_metrics.json,0.43061460685115893,0.16428850997088734,0.8073995598897385
A,AsyCo,0.2,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_06/test_metrics.json,0.43765646706305034,0.15180697461425016,0.8198801666915319
A,AsyCo,0.2,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_07/test_metrics.json,0.49821494499644337,0.1846521005674008,0.8502357550538905
A,AsyCo,0.2,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_08/test_metrics.json,0.4411248347535978,0.14269066704399774,0.8461903358898616
A,AsyCo,0.2,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_20/fold_09/test_metrics.json,0.4806870787063061,0.18792263503307052,0.85086252926682
A,AsyCo,0.3,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_00/test_metrics.json,0.4324223759884243,0.12478155138837244,0.8198347817526994
A,AsyCo,0.3,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_01/test_metrics.json,0.37279430069010233,0.1096122777189302,0.796722234358507
A,AsyCo,0.3,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_02/test_metrics.json,0.44201657733903016,0.1630442734502566,0.8484433365426316
A,AsyCo,0.3,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_03/test_metrics.json,0.37616629104540217,0.14142222828704387,0.7918382060248357
A,AsyCo,0.3,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_04/test_metrics.json,0.3821374813930603,0.13292883768993652,0.801350797665231
A,AsyCo,0.3,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_05/test_metrics.json,0.35502458968389533,0.13237573549524553,0.8036818573190345
A,AsyCo,0.3,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_06/test_metrics.json,0.4264018657016329,0.12658750741210353,0.8034887199749244
A,AsyCo,0.3,7,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_07/test_metrics.json,0.3926789042866835,0.12395795338239368,0.807713119212495
A,AsyCo,0.3,8,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_08/test_metrics.json,0.4153737841055903,0.14433965310376776,0.8430033498896821
A,AsyCo,0.3,9,results/main_experiment/scratch_adam/training/asyco_divmix/tau_30/fold_09/test_metrics.json,0.43937133944176093,0.1698873589077718,0.8415142733945924
A,AsyCo,0.4,0,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_00/test_metrics.json,0.423432405789859,0.11470779767210351,0.8328475302772862
A,AsyCo,0.4,1,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_01/test_metrics.json,0.3736236084471457,0.0933846334837539,0.8064545973423556
A,AsyCo,0.4,2,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_02/test_metrics.json,0.416220163385125,0.1347796178393526,0.8114274040449355
A,AsyCo,0.4,3,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_03/test_metrics.json,0.4036972558498978,0.16302406298970404,0.7810450483418615
A,AsyCo,0.4,4,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_04/test_metrics.json,0.44246934435836327,0.1679605346444994,0.8070172719324605
A,AsyCo,0.4,5,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_05/test_metrics.json,0.3925262081216682,0.1108233546752502,0.781392030563788
A,AsyCo,0.4,6,results/main_experiment/scratch_adam/training/asyco_divmix/tau_40/fold_06/test_metrics.json,0.39380798202201317,0.09682676167704711,0.7950981072245086
