protocol,metric,method,tau,mean,lo,hi,n
S,BA,baseline,0.0,0.6587106132492744,0.6380173171844931,0.6823371220123601,10
S,BA,baseline,0.1,0.5551929308050496,0.5391607376776291,0.5708414684467259,10
S,BA,baseline,0.2,0.5236766807693753,0.4995391679888165,0.5470593936998598,10
S,BA,baseline,0.3,0.508391264508009,0.48674285661887096,0.525686425383272,10
S,BA,baseline,0.4,0.4818698654012521,0.4568739868815607,0.5072075065323115,10
S,BA,baseline,0.5,0.45162328368529414,0.4350470207353349,0.46959099183050695,10
S,BA,SCE,0.0,0.6725503441505468,0.6506161474369001,0.6953318311762322,10
S,BA,SCE,0.1,0.6301871248774348,0.5973183823898202,0.6597731905783947,10
S,BA,SCE,0.2,0.6258528664930394,0.6099038161530169,0.6416760237922507,10
S,BA,SCE,0.3,0.5678171264509215,0.5412357614978179,0.592864637970902,10
S,BA,SCE,0.4,0.5422127736766698,0.5233975738258088,0.5600219889715191,10
S,BA,SCE,0.5,0.5036872708622167,0.4831628496702644,0.5215701769370812,10
S,BA,ELR,0.0,0.5885947632406745,0.5676489414035863,0.6090034672113697,10
S,BA,ELR,0.1,0.5512683283820786,0.5278998688791121,0.5722616439917448,10
S,BA,ELR,0.2,0.5357147355928619,0.5064936616607271,0.5631192021991571,10
S,BA,ELR,0.3,0.4989460993264839,0.4798581543260179,0.5184603318613737,10
S,BA,ELR,0.4,0.46739594149808933,0.4508512277393321,0.48329607979486366,10
S,BA,ELR,0.5,0.44799657931921455,0.42483226166214216,0.47341747082910923,10
S,BA,AsyCo,0.0,0.5156324004446088,0.49389086609421207,0.538580659275384,10
S,BA,AsyCo,0.1,0.45752440514506787,0.4331652305037466,0.482582228455344,10
S,BA,AsyCo,0.2,0.4436548044145826,0.41496051323748956,0.47335504207431905,10
S,BA,AsyCo,0.3,0.41876706320325585,0.3931901141598202,0.44443809913428867,10
S,BA,AsyCo,0.4,0.4135060708468905,0.38746363240624704,0.4397190509103516,10
S,BA,AsyCo,0.5,0.38263002116117384,0.35578889565239596,0.41104988396220526,10
S,MacroF1,baseline,0.0,0.4331655113050579,0.41824980877814644,0.44855617637389855,10
S,MacroF1,baseline,0.1,0.20499191106300926,0.19709702494176168,0.2134531336635176,10
S,MacroF1,baseline,0.2,0.1844699652650296,0.17503602067974836,0.19301016052526443,10
S,MacroF1,baseline,0.3,0.1744097780767612,0.16526754773191596,0.18320619892836051,10
S,MacroF1,baseline,0.4,0.1528473850766546,0.14403310969212477,0.16064797749844326,10
S,MacroF1,baseline,0.5,0.13422643968161202,0.12517167438035207,0.14344648832616516,10
S,MacroF1,SCE,0.0,0.5740737268829723,0.55481129493636,0.5956767263870918,10
S,MacroF1,SCE,0.1,0.40957395475218483,0.39156953863010346,0.42797205717112724,10
S,MacroF1,SCE,0.2,0.3593333549838446,0.3546518204490416,0.3643997871274157,10
S,MacroF1,SCE,0.3,0.2969650863646524,0.2852447925604305,0.3087637513571271,10
S,MacroF1,SCE,0.4,0.240961217471033,0.23138084824583727,0.25110809887390173,10
S,MacroF1,SCE,0.5,0.19997602307119444,0.19084924409998075,0.20977667884323445,10
S,MacroF1,ELR,0.0,0.30772649137972763,0.28584430731403815,0.3288082274400395,10
S,MacroF1,ELR,0.1,0.20544389774759378,0.19297042360072206,0.21796015027090193,10
S,MacroF1,ELR,0.2,0.19206145430933455,0.18191448157857043,0.2021724429012144,10
S,MacroF1,ELR,0.3,0.1701648880783894,0.16122758700775344,0.1802121017699151,10
S,MacroF1,ELR,0.4,0.14216295529881717,0.13682606182197254,0.14774254971182885,10
S,MacroF1,ELR,0.5,0.12697445392944315,0.1158948619295938,0.14128904306021875,10
S,MacroF1,AsyCo,0.0,0.25181082116821896,0.22999632294511865,0.27517201880877945,10
S,MacroF1,AsyCo,0.1,0.1841253617584498,0.17266100875758508,0.1965203010775004,10
S,MacroF1,AsyCo,0.2,0.1673329148550704,0.15657048798362647,0.17790433479529524,10
S,MacroF1,AsyCo,0.3,0.14529373606729956,0.1308810563917725,0.1584203206001856,10
S,MacroF1,AsyCo,0.4,0.1531118227864225,0.13145185026314518,0.1775751733008095,10
S,MacroF1,AsyCo,0.5,0.12442594742736372,0.11020717136013702,0.13659515331083966,10
S,MacroAUC,baseline,0.0,0.8966689465871246,0.8868130684275799,0.9053808392614577,10
S,MacroAUC,baseline,0.1,0.841304905916507,0.8338611635525608,0.8495609021690472,10
S,MacroAUC,baseline,0.2,0.8273444887717893,0.815093220765419,0.8390696265229112,10
S,MacroAUC,baseline,0.3,0.821964173309176,0.8106309661804302,0.8314737192057545,10
S,MacroAUC,baseline,0.4,0.8059218646225798,0.7993621662666112,0.8129731911596325,10
S,MacroAUC,baseline,0.5,0.7938043873675243,0.7850884099627256,0.8026620878480754,10
S,MacroAUC,SCE,0.0,0.9388864811635991,0.9324471972442715,0.9441600957587329,10
S,MacroAUC,SCE,0.1,0.8846376126358525,0.8764985017270959,0.8933004060333009,10
S,MacroAUC,SCE,0.2,0.8696841627743341,0.859794307752979,0.8775209190010687,10
S,MacroAUC,SCE,0.3,0.8413416357175907,0.826551605690186,0.8539139370422836,10
S,MacroAUC,SCE,0.4,0.8224255153062963,0.814260368566356,0.8307069277659579,10
S,MacroAUC,SCE,0.5,0.805801329329423,0.7951086440244429,0.8157531114724716,10
S,MacroAUC,ELR,0.0,0.8670146012642528,0.8530895746990041,0.8798499102308178,10
S,MacroAUC,ELR,0.1,0.8341905882375688,0.8251270500994137,0.8439764976561089,10
S,MacroAUC,ELR,0.2,0.824712334159743,0.8119931225506647,0.8367319655617721,10
S,MacroAUC,ELR,0.3,0.8076321490277125,0.796557959987148,0.8173793372398847,10
S,MacroAUC,ELR,0.4,0.7880970676341852,0.7774251942758573,0.7984546004849327,10
S,MacroAUC,ELR,0.5,0.7833434167759317,0.7703034562275025,0.7971766087266582,10
S,MacroAUC,AsyCo,0.0,0.8633595530453281,0.8529130711226359,0.8745743735602546,10
S,MacroAUC,AsyCo,0.1,0.8272787699040635,0.8125580779354202,0.8397138028419191,10
S,MacroAUC,AsyCo,0.2,0.8185557995033008,0.7966800089466156,0.8397847219438795,10
S,MacroAUC,AsyCo,0.3,0.8078500611440219,0.7912805135300519,0.8248780026555044,10
S,MacroAUC,AsyCo,0.4,0.7848364435954097,0.7697152146750337,0.8053338269153837,10
S,MacroAUC,AsyCo,0.5,0.7690331819273745,0.7550297425111632,0.7848236841836129,10
SP,BA,baseline,0.0,0.7297144164820466,0.7036289492432033,0.7549352208566473,10
SP,BA,baseline,0.1,0.6306214708974911,0.6043957587428994,0.6572851553956842,10
SP,BA,baseline,0.2,0.6065582703502491,0.5757694334182766,0.6344789507286636,10
SP,BA,baseline,0.3,0.5730222335399777,0.5534511980325721,0.5891238984645385,10
SP,BA,baseline,0.4,0.5443787260746688,0.5135523833177358,0.5702697067925657,10
SP,BA,baseline,0.5,0.5102897695209367,0.495050612296724,0.526752844769968,10
SP,BA,SCE,0.0,0.7535344584785794,0.7366479706718777,0.7712286171055708,10
SP,BA,SCE,0.1,0.7195822995954889,0.6941927287154211,0.7432975515415347,10
SP,BA,SCE,0.2,0.6940211501525325,0.6672402927924131,0.7189911393958525,10
SP,BA,SCE,0.3,0.6208691017020322,0.5832309812104247,0.6533804821721434,10
SP,BA,SCE,0.4,0.6101781717967447,0.5898288343405572,0.6316893858179482,10
SP,BA,SCE,0.5,0.5467209130064679,0.5259283412928603,0.569071665451076,10
SP,BA,ELR,0.0,0.658994005563066,0.6383869859821779,0.6766873756649829,10
SP,BA,ELR,0.1,0.6245186770863114,0.6040840011279511,0.6449449982132461,10
SP,BA,ELR,0.2,0.609285991800983,0.5821403692768394,0.6374901986142719,10
SP,BA,ELR,0.3,0.5780809200672655,0.5534895855280985,0.599804722359427,10
SP,BA,ELR,0.4,0.5352388865976397,0.5118103853758768,0.5591756624228348,10
SP,BA,ELR,0.5,0.5147035399270289,0.4833845715193941,0.5487789527993477,10
SP,BA,AsyCo,0.0,0.6608891756013355,0.6186551327455176,0.6923796717943752,10
SP,BA,AsyCo,0.1,0.5787860194592661,0.557329610063215,0.601071055099962,10
SP,BA,AsyCo,0.2,0.5540964789291712,0.5198913899358582,0.5839655677420944,10
SP,BA,AsyCo,0.3,0.5021742474976019,0.4753514300949667,0.5259374159913867,10
SP,BA,AsyCo,0.4,0.5470838385831768,0.5259150143118826,0.5660038277874082,10
SP,BA,AsyCo,0.5,0.4981623199229208,0.47041358222589696,0.5286640478577829,10
SP,MacroF1,baseline,0.0,0.5486034549141791,0.5205320552311028,0.5770471338626612,10
SP,MacroF1,baseline,0.1,0.28693021379679645,0.27227722193454695,0.30213871094322464,10
SP,MacroF1,baseline,0.2,0.2681818645125086,0.25539818893612826,0.27934051618975425,10
SP,MacroF1,baseline,0.3,0.24069168144480751,0.22960005414298135,0.25108579857600827,10
SP,MacroF1,baseline,0.4,0.2177106126236365,0.20580010442678406,0.22706113372385175,10
SP,MacroF1,baseline,0.5,0.21116626291085988,0.2015197711790697,0.2202737097387537,10
SP,MacroF1,SCE,0.0,0.7167230238807977,0.6971181682762556,0.7336340103060534,10
SP,MacroF1,SCE,0.1,0.5895554274157384,0.5642423123634815,0.612996587411548,10
SP,MacroF1,SCE,0.2,0.5162181532234653,0.49750986419584725,0.5344989361573271,10
SP,MacroF1,SCE,0.3,0.43385436836520147,0.4082481799260629,0.4562334237943935,10
SP,MacroF1,SCE,0.4,0.38049087541529325,0.36724841571021066,0.39452232833209216,10
