protocol,metric,method,delta,rel_pct
A,BA,AsyCo,-0.08647183403525542,-16.046338513106722
A,BA,ELR,-0.02542288041132752,-4.414032567914595
A,BA,SCE,0.0568758538159601,11.190100497941684
A,MacroAUC,AsyCo,-0.002299300784298186,-0.241559678687664
A,MacroAUC,ELR,-0.016812516737259864,-1.9919592741839018
A,MacroAUC,SCE,0.02594926523941493,3.091177036203325
A,MacroF1,AsyCo,-0.0405184136954747,-14.374586993267904
A,MacroF1,ELR,-0.025540317967175583,-8.072076241649656
A,MacroF1,SCE,0.10226514887186404,51.67110928658145
AP,BA,AsyCo,-0.019515450847664744,-2.512556558092392
AP,BA,ELR,-0.007201706021394545,-0.6755517753058479
AP,BA,SCE,0.05892408940276008,10.559889564329294
AP,MacroAUC,AsyCo,0.00055722385728559,0.18385871111241556
AP,MacroAUC,ELR,-0.021363861484540964,-2.4404859955227534
AP,MacroAUC,SCE,0.022968263003504852,2.6932407261941624
AP,MacroF1,AsyCo,-0.00309552140158297,5.1593961711095595
AP,MacroF1,ELR,-0.027443010211957528,-5.712325899288506
AP,MacroF1,SCE,0.13670601649362255,57.04825073198486
S,BA,AsyCo,-0.09129164553377918,-16.94774129672061
S,BA,ELR,-0.014924698509808626,-2.4528553808253606
S,BA,SCE,0.060473811348762396,11.809993927963887
S,MacroAUC,AsyCo,-0.019349159575867098,-2.3163761325649994
S,MacroAUC,ELR,-0.013669768245884525,-1.6240212868026693
S,MacroAUC,SCE,0.029294661725399112,3.482172412961358
S,MacroF1,AsyCo,-0.043001731067549946,-14.193147642160826
S,MacroF1,ELR,-0.02326280828746982,-6.574968851743692
S,MacroF1,SCE,0.13279539550962616,67.3371986798631
SP,BA,AsyCo,-0.04223213447864962,-6.757369786875628
SP,BA,ELR,-0.012293810970512594,-1.6901239754210475
SP,BA,SCE,0.05838686797774593,9.894495506100686
SP,MacroAUC,AsyCo,-0.010871196286197482,-1.1970847428110083
SP,MacroAUC,ELR,-0.03174858243811065,-3.657522676700024
SP,MacroAUC,SCE,0.031474455849387996,3.6343536410057204
SP,MacroF1,AsyCo,-0.045184294281888755,-14.001779401842896
SP,MacroF1,ELR,-0.03266544925723679,-9.137958650706283
SP,MacroF1,SCE,0.1980231109504108,72.8890044793218
