protocol,metric,method,tau,method_mean,baseline_mean,delta,rel_pct
S,BA,SCE,0.2,0.6258528664930394,0.5236766807693753,0.10217618572366405,19.511310981720406
S,BA,ELR,0.2,0.5357147355928619,0.5236766807693753,0.012038054823486521,2.298757089164339
S,BA,AsyCo,0.2,0.4436548044145826,0.5236766807693753,-0.08002187635479274,-15.280779017546894
S,MacroF1,SCE,0.2,0.3593333549838446,0.1844699652650296,0.17486338971881502,94.79233623077191
S,MacroF1,ELR,0.2,0.19206145430933455,0.1844699652650296,0.007591489044304955,4.115298137232366
S,MacroF1,AsyCo,0.2,0.1673329148550704,0.1844699652650296,-0.017137050409959192,-9.289886505555657
S,MacroAUC,SCE,0.2,0.8696841627743341,0.8273444887717893,0.04233967400254479,5.117538652538672
S,MacroAUC,ELR,0.2,0.824712334159743,0.8273444887717893,-0.0026321546120463557,-0.31814493814467126
S,MacroAUC,AsyCo,0.2,0.8185557995033008,0.8273444887717893,-0.008788689268488525,-1.0622768855976212
SP,BA,SCE,0.2,0.6940211501525325,0.6065582703502491,0.0874628798022834,14.41953462307572
SP,BA,ELR,0.2,0.609285991800983,0.6065582703502491,0.0027277214507338554,0.44970476606621296
SP,BA,AsyCo,0.2,0.5540964789291712,0.6065582703502491,-0.052461791421077875,-8.649093415342355
SP,MacroF1,SCE,0.2,0.5162181532234653,0.2681818645125086,0.24803628871095673,92.48809167682842
SP,MacroF1,ELR,0.2,0.2561475775269716,0.2681818645125086,-0.01203428698553699,-4.487360473614608
SP,MacroF1,AsyCo,0.2,0.22425304312017694,0.2681818645125086,-0.043928821392331646,-16.38023565545116
SP,MacroAUC,SCE,0.2,0.9093212739136858,0.8722565697390424,0.03706470417464336,4.249289195463692
SP,MacroAUC,ELR,0.2,0.846624155385322,0.8722565697390424,-0.025632414353720434,-2.9386324211222643
SP,MacroAUC,AsyCo,0.2,0.8577441049351291,0.8722565697390424,-0.014512464803913327,-1.663783949286286
A,BA,SCE,0.2,0.59710432338022,0.5187436025215921,0.07836072085862789,15.105867422310274
A,BA,ELR,0.2,0.49366672487088337,0.5187436025215921,-0.025076877650708762,-4.834156513701769
A,BA,AsyCo,0.2,0.46317604094966275,0.5187436025215921,-0.05556756157192938,-10.711951203218248
A,MacroF1,SCE,0.2,0.3147794563282274,0.18342607972821595,0.13135337660001145,71.61106904461946
A,MacroF1,ELR,0.2,0.17763201276680196,0.18342607972821595,-0.005794066961413991,-3.1588021561596427
A,MacroF1,AsyCo,0.2,0.17170794913123683,0.18342607972821595,-0.011718130596979126,-6.388475736025097
A,MacroAUC,SCE,0.2,0.8601246801729566,0.821349634197437,0.03877504597551962,4.72089404573824
A,MacroAUC,ELR,0.2,0.8127883993864499,0.821349634197437,-0.00856123481098714,-1.0423374473591327
A,MacroAUC,AsyCo,0.2,0.8361524543806143,0.821349634197437,0.014802820183177245,1.8022556493424975
AP,BA,SCE,0.2,0.6682637986711761,0.6023901739509616,0.06587362472021452,10.93537503909834
AP,BA,ELR,0.2,0.6103851095281267,0.6023901739509616,0.00799493557716513,1.3272021893597434
AP,BA,AsyCo,0.2,0.5629813570692693,0.6023901739509616,-0.03940881688169229,-6.542074984925039
AP,MacroF1,SCE,0.2,0.4157512302872563,0.2372219341531466,0.1785292961341097,75.2583426871708
AP,MacroF1,ELR,0.2,0.24166146778670483,0.2372219341531466,0.004439533633558229,1.871468441317125
AP,MacroF1,AsyCo,0.2,0.2579827069428784,0.2372219341531466,0.02076077278973179,8.751624449840703
AP,MacroAUC,SCE,0.2,0.8902631629922799,0.862605250607146,0.02765791238513393,3.2063232128098997
AP,MacroAUC,ELR,0.2,0.8464256729447657,0.862605250607146,-0.016179577662380318,-1.875664175588115
AP,MacroAUC,AsyCo,0.2,0.8531689895223108,0.862605250607146,-0.009436261084835196,-1.0939257647914233
