protocol,metric,method,tau,method_mean,baseline_mean,delta,rel_pct
S,BA,SCE,0.0,0.6725503441505468,0.6587106132492744,0.01383973090127244,2.1010335377783114
S,BA,SCE,0.1,0.6301871248774348,0.5551929308050496,0.07499419407238517,13.507771787303001
S,BA,SCE,0.2,0.6258528664930394,0.5236766807693753,0.10217618572366405,19.511310981720406
S,BA,SCE,0.3,0.5678171264509215,0.508391264508009,0.05942586194291255,11.68900138369242
S,BA,SCE,0.4,0.5422127736766698,0.4818698654012521,0.06034290827541766,12.522656552754183
S,BA,SCE,0.5,0.5036872708622167,0.45162328368529414,0.05206398717692251,11.528189324535003
S,BA,ELR,0.0,0.5885947632406745,0.6587106132492744,-0.07011585000859988,-10.644408727944102
S,BA,ELR,0.1,0.5512683283820786,0.5551929308050496,-0.003924602422970991,-0.7068898404884545
S,BA,ELR,0.2,0.5357147355928619,0.5236766807693753,0.012038054823486521,2.298757089164339
S,BA,ELR,0.3,0.4989460993264839,0.508391264508009,-0.00944516518152505,-1.857853555108883
S,BA,ELR,0.4,0.46739594149808933,0.4818698654012521,-0.014473923903162766,-3.0036997418608773
S,BA,ELR,0.5,0.44799657931921455,0.45162328368529414,-0.0036267043660795917,-0.8030375087141871
S,BA,AsyCo,0.0,0.5156324004446088,0.6587106132492744,-0.1430782128046656,-21.72095149627122
S,BA,AsyCo,0.1,0.45752440514506787,0.5551929308050496,-0.09766852565998174,-17.591817229797737
S,BA,AsyCo,0.2,0.4436548044145826,0.5236766807693753,-0.08002187635479274,-15.280779017546894
S,BA,AsyCo,0.3,0.41876706320325585,0.508391264508009,-0.08962420130475313,-17.628981369592598
S,BA,AsyCo,0.4,0.4135060708468905,0.4818698654012521,-0.06836379455436159,-14.187190248436721
S,BA,AsyCo,0.5,0.38263002116117384,0.45162328368529414,-0.0689932625241203,-15.27672841867849
S,MacroF1,SCE,0.0,0.5740737268829723,0.4331655113050579,0.1409082155779144,32.52987874158786
S,MacroF1,SCE,0.1,0.40957395475218483,0.20499191106300926,0.20458204368917557,99.8000568062865
S,MacroF1,SCE,0.2,0.3593333549838446,0.1844699652650296,0.17486338971881502,94.79233623077191
S,MacroF1,SCE,0.3,0.2969650863646524,0.1744097780767612,0.12255530828789121,70.2685994095768
S,MacroF1,SCE,0.4,0.240961217471033,0.1528473850766546,0.0881138323943784,57.64824327886824
S,MacroF1,SCE,0.5,0.19997602307119444,0.13422643968161202,0.06574958338958242,48.98407761208733
S,MacroF1,ELR,0.0,0.30772649137972763,0.4331655113050579,-0.1254390199253303,-28.958681301150392
S,MacroF1,ELR,0.1,0.20544389774759378,0.20499191106300926,0.0004519866845845155,0.2204900096987663
S,MacroF1,ELR,0.2,0.19206145430933455,0.1844699652650296,0.007591489044304955,4.115298137232366
S,MacroF1,ELR,0.3,0.1701648880783894,0.1744097780767612,-0.004244889998371804,-2.4338600995774122
S,MacroF1,ELR,0.4,0.14216295529881717,0.1528473850766546,-0.010684429777837429,-6.99026010322589
S,MacroF1,ELR,0.5,0.12697445392944315,0.13422643968161202,-0.007251985752168871,-5.402799753439588
S,MacroF1,AsyCo,0.0,0.25181082116821896,0.4331655113050579,-0.18135469013683897,-41.867296773107924
S,MacroF1,AsyCo,0.1,0.1841253617584498,0.20499191106300926,-0.020866549304559473,-10.179206192260741
S,MacroF1,AsyCo,0.2,0.1673329148550704,0.1844699652650296,-0.017137050409959192,-9.289886505555657
S,MacroF1,AsyCo,0.3,0.14529373606729956,0.1744097780767612,-0.029116042009461635,-16.694042232338077
S,MacroF1,AsyCo,0.4,0.1531118227864225,0.1528473850766546,0.0002644377097678896,0.17300767666733144
S,MacroF1,AsyCo,0.5,0.12442594742736372,0.13422643968161202,-0.009800492254248297,-7.301461826369882
S,MacroAUC,SCE,0.0,0.9388864811635991,0.8966689465871246,0.04221753457647448,4.708263260053964
S,MacroAUC,SCE,0.1,0.8846376126358525,0.841304905916507,0.043332706719345526,5.150654229472182
S,MacroAUC,SCE,0.2,0.8696841627743341,0.8273444887717893,0.04233967400254479,5.117538652538672
S,MacroAUC,SCE,0.3,0.8413416357175907,0.821964173309176,0.019377462408414647,2.3574582734430143
S,MacroAUC,SCE,0.4,0.8224255153062963,0.8059218646225798,0.01650365068371651,2.047797858350116
S,MacroAUC,SCE,0.5,0.805801329329423,0.7938043873675243,0.01199694196189871,1.5113222039101974
S,MacroAUC,ELR,0.0,0.8670146012642528,0.8966689465871246,-0.02965434532287181,-3.307167649302602
S,MacroAUC,ELR,0.1,0.8341905882375688,0.841304905916507,-0.00711431767893822,-0.8456289305941906
S,MacroAUC,ELR,0.2,0.824712334159743,0.8273444887717893,-0.0026321546120463557,-0.31814493814467126
S,MacroAUC,ELR,0.3,0.8076321490277125,0.821964173309176,-0.014332024281463518,-1.7436312611733051
S,MacroAUC,ELR,0.4,0.7880970676341852,0.8059218646225798,-0.017824796988394565,-2.2117276836436335
S,MacroAUC,ELR,0.5,0.7833434167759317,0.7938043873675243,-0.010460970591592678,-1.3178272579576134
S,MacroAUC,AsyCo,0.0,0.8633595530453281,0.8966689465871246,-0.03330939354179652,-3.714792808268622
S,MacroAUC,AsyCo,0.1,0.8272787699040635,0.841304905916507,-0.014026136012443513,-1.667188187517297
S,MacroAUC,AsyCo,0.2,0.8185557995033008,0.8273444887717893,-0.008788689268488525,-1.0622768855976212
S,MacroAUC,AsyCo,0.3,0.8078500611440219,0.821964173309176,-0.014114112165154125,-1.717120115872155
S,MacroAUC,AsyCo,0.4,0.7848364435954097,0.8059218646225798,-0.021085421027170037,-2.616310830212371
S,MacroAUC,AsyCo,0.5,0.7690331819273745,0.7938043873675243,-0.02477120544014988,-3.12056796792193
SP,BA,SCE,0.0,0.7535344584785794,0.7297144164820466,0.02382004199653276,3.2642964779795896
SP,BA,SCE,0.1,0.7195822995954889,0.6306214708974911,0.08896082869799782,14.106850591590245
SP,BA,SCE,0.2,0.6940211501525325,0.6065582703502491,0.0874628798022834,14.41953462307572
SP,BA,SCE,0.3,0.6208691017020322,0.5730222335399777,0.04784686816205452,8.34991477843179
SP,BA,SCE,0.4,0.6101781717967447,0.5443787260746688,0.06579944572207597,12.087071476237426
SP,BA,SCE,0.5,0.5467209130064679,0.5102897695209367,0.036431143485531114,7.139305089289347
SP,BA,ELR,0.0,0.658994005563066,0.7297144164820466,-0.07072041091898063,-9.691518945168133
SP,BA,ELR,0.1,0.6245186770863114,0.6306214708974911,-0.00610279381117973,-0.9677427891083893
SP,BA,ELR,0.2,0.609285991800983,0.6065582703502491,0.0027277214507338554,0.44970476606621296
SP,BA,ELR,0.3,0.5780809200672655,0.5730222335399777,0.0050586865272878034,0.8828080711696986
SP,BA,ELR,0.4,0.5352388865976397,0.5443787260746688,-0.00913983947702901,-1.6789486876045483
SP,BA,ELR,0.5,0.5147035399270289,0.5102897695209367,0.0044137704060921434,0.8649537321188742
SP,BA,AsyCo,0.0,0.6608891756013355,0.7297144164820466,-0.06882524088071107,-9.431805008391855
SP,BA,AsyCo,0.1,0.5787860194592661,0.6306214708974911,-0.05183545143822499,-8.219740974637851
SP,BA,AsyCo,0.2,0.5540964789291712,0.6065582703502491,-0.052461791421077875,-8.649093415342355
SP,BA,AsyCo,0.3,0.5021742474976019,0.5730222335399777,-0.07084798604237585,-12.363915725345594
SP,BA,AsyCo,0.4,0.5470838385831768,0.5443787260746688,0.002705112508508023,0.4969173810324434
SP,BA,AsyCo,0.5,0.4981623199229208,0.5102897695209367,-0.012127449598015927,-2.3765809785685597
SP,MacroF1,SCE,0.0,0.7167230238807977,0.5486034549141791,0.16811956896661862,30.64500732918615
SP,MacroF1,SCE,0.1,0.5895554274157384,0.28693021379679645,0.30262521361894196,105.46997111752779
SP,MacroF1,SCE,0.2,0.5162181532234653,0.2681818645125086,0.24803628871095673,92.48809167682842
SP,MacroF1,SCE,0.3,0.43385436836520147,0.24069168144480751,0.19316268692039396,80.2531627852239
SP,MacroF1,SCE,0.4,0.38049087541529325,0.2177106126236365,0.16278026279165675,74.76909868103691
SP,MacroF1,SCE,0.5,0.3245809076047567,0.21116626291085988,0.11341464469389684,53.708695286127615
SP,MacroF1,ELR,0.0,0.4305152720229196,0.5486034549141791,-0.11808818289125944,-21.525235000521935
SP,MacroF1,ELR,0.1,0.27479139125738883,0.28693021379679645,-0.012138822539407623,-4.230583589919296
SP,MacroF1,ELR,0.2,0.2561475775269716,0.2681818645125086,-0.01203428698553699,-4.487360473614608
SP,MacroF1,ELR,0.3,0.23112482218200975,0.24069168144480751,-0.009566859262797767,-3.9747361459982664
SP,MacroF1,ELR,0.4,0.19630259521344307,0.2177106126236365,-0.021408017410193436,-9.833244761109638
SP,MacroF1,ELR,0.5,0.18840973645663442,0.21116626291085988,-0.022756526454225462,-10.776591933073954
SP,MacroF1,AsyCo,0.0,0.43477418894214753,0.5486034549141791,-0.11382926597203152,-20.748915259718594
SP,MacroF1,AsyCo,0.1,0.2555633129610132,0.28693021379679645,-0.03136690083578325,-10.931891912225474
SP,MacroF1,AsyCo,0.2,0.22425304312017694,0.2681818645125086,-0.043928821392331646,-16.38023565545116
SP,MacroF1,AsyCo,0.3,0.19101630199329012,0.24069168144480751,-0.0496753794515174,-20.638594218682357
SP,MacroF1,AsyCo,0.4,0.21858725022223027,0.2177106126236365,0.0008766375985937713,0.40266185834001744
SP,MacroF1,AsyCo,0.5,0.17798422727259738,0.21116626291085988,-0.0331820356382625,-15.713701223319802
