protocol,metric,method,tau,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
S,BA,SCE,0.0,"0,1,2,3,4,5,6,7,8,9",10,0.013839730901272529,-0.003988099122186648,0.032028615168407215,15.0,0.232421875,0.185546875,0.4545454545454546,1,10000,True,0.232421875,0.185546875,n.s.,n.s.,True,,0.232421875,0.232421875,0.013839730901272529
S,BA,SCE,0.1,"0,1,2,3,4,5,6,7,8,9",10,0.07499419407238524,0.044991891844201826,0.10215501165188556,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07499419407238524
S,BA,SCE,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.10217618572366391,0.076932683593233,0.12715534818528904,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.10217618572366391
S,BA,SCE,0.3,"0,1,2,3,4,5,6,7,8,9",10,0.05942586194291257,0.0420291740657743,0.07680874550175469,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.05942586194291257
S,BA,SCE,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.060342908275417786,0.03130313772800507,0.0938958567474997,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.060342908275417786
S,BA,SCE,0.5,"0,1,2,3,4,5,6,7,8,9",10,0.05206398717692247,0.037357456069187917,0.06795770925791704,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.05206398717692247
S,BA,ELR,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.07011585000859977,-0.08397689150290881,-0.056443743598472124,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07011585000859977
S,BA,ELR,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.003924602422971058,-0.028764360450468356,0.018929841017237676,27.0,1.0,0.76953125,-0.018181818181818188,-1,10000,True,1.0,1.0,n.s.,n.s.,True,,1.0,1.0,-0.003924602422971058
S,BA,ELR,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.012038054823486433,-0.007153747767609912,0.03181092744831295,16.0,0.275390625,0.27734375,0.4181818181818182,1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.275390625,1.0,0.012038054823486433
S,BA,ELR,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.009445165181525017,-0.020823743998773146,0.003766596177403233,15.0,0.232421875,0.18359375,-0.4545454545454546,-1,10000,True,1.0,0.91796875,n.s.,n.s.,True,,0.232421875,1.0,-0.009445165181525017
S,BA,ELR,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.014473923903162766,-0.04167518246120748,0.012860507736084967,20.0,0.4921875,0.353515625,-0.2727272727272727,-1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.4921875,1.0,-0.014473923903162766
S,BA,ELR,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.0036267043660795526,-0.01680776746927456,0.009324395752737264,25.0,0.845703125,0.638671875,-0.09090909090909094,-1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.845703125,1.0,-0.0036267043660795526
S,BA,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.14307821280466548,-0.17845008756487904,-0.11338905062655957,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.14307821280466548
S,BA,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.09766852565998177,-0.12876279954311187,-0.06519471939114346,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.09766852565998177
S,BA,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9",10,-0.08002187635479281,-0.1105174071494681,-0.049868284836632,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.08002187635479281
S,BA,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.0896242013047531,-0.1194719251529772,-0.057900998164298674,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.00390625,0.01171875,-0.0896242013047531
S,BA,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.06836379455436156,-0.10332369936774544,-0.030362485018477374,4.0,0.013671875,0.01171875,-0.8545454545454545,-1,10000,True,0.013671875,0.01171875,-*,-*,True,,0.013671875,0.013671875,-0.06836379455436156
S,BA,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.06899326252412025,-0.09971478702105206,-0.03735590212079183,2.0,0.005859375,0.005859375,-0.9272727272727272,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.005859375,0.01171875,-0.06899326252412025
S,MacroF1,SCE,0.0,"0,1,2,3,4,5,6,7,8,9",10,0.14090821557791441,0.12248963513459518,0.1581984571666426,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.14090821557791441
S,MacroF1,SCE,0.1,"0,1,2,3,4,5,6,7,8,9",10,0.2045820436891755,0.18447035854832775,0.2226186067491116,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.2045820436891755
S,MacroF1,SCE,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.17486338971881504,0.16457930769529217,0.18590679062589363,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.17486338971881504
S,MacroF1,SCE,0.3,"0,1,2,3,4,5,6,7,8,9",10,0.12255530828789125,0.11536114905621332,0.1304201133519669,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.12255530828789125
S,MacroF1,SCE,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.08811383239437834,0.07515568274299911,0.10016947082481917,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08811383239437834
S,MacroF1,SCE,0.5,"0,1,2,3,4,5,6,7,8,9",10,0.06574958338958241,0.05683092926602939,0.07424627672146554,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.06574958338958241
S,MacroF1,ELR,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.12543901992533027,-0.1398126420359816,-0.11183689695512715,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.12543901992533027
S,MacroF1,ELR,0.1,"0,1,2,3,4,5,6,7,8,9",10,0.00045198668458446836,-0.011516533866646517,0.01066425354337524,23.0,0.6953125,0.9453125,0.1636363636363637,1,10000,True,0.6953125,0.9453125,n.s.,n.s.,True,,0.6953125,0.6953125,0.00045198668458446836
S,MacroF1,ELR,0.2,"0,1,2,3,4,5,6,7,8,9",10,0.007591489044304953,0.000368923097002093,0.01475206214821922,8.0,0.048828125,0.091796875,0.7090909090909091,1,10000,True,0.1953125,0.3671875,n.s.,n.s.,True,,0.048828125,0.1953125,0.007591489044304953
S,MacroF1,ELR,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.004244889998371787,-0.009492708470120863,0.0006479403524176451,16.0,0.275390625,0.16796875,-0.4181818181818182,-1,10000,True,0.55078125,0.3671875,n.s.,n.s.,True,,0.275390625,0.55078125,-0.004244889998371787
S,MacroF1,ELR,0.4,"0,1,2,3,4,5,6,7,8,9",10,-0.010684429777837439,-0.01769627406549437,-0.0036056461637253,5.0,0.01953125,0.0234375,-0.8181818181818181,-1,10000,True,0.09765625,0.1171875,n.s.,n.s.,True,,0.01953125,0.09765625,-0.010684429777837439
S,MacroF1,ELR,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.007251985752168853,-0.014227282399062045,0.00015186777040456453,10.0,0.083984375,0.09375,-0.6363636363636364,-1,10000,True,0.251953125,0.3671875,n.s.,n.s.,True,,0.083984375,0.251953125,-0.007251985752168853
S,MacroF1,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9",10,-0.18135469013683897,-0.20876157592281258,-0.15287091849019727,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.18135469013683897
S,MacroF1,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9",10,-0.020866549304559497,-0.03856742868705133,-0.003636898091152744,11.0,0.10546875,0.060546875,-0.6,-1,10000,True,0.31640625,0.181640625,n.s.,n.s.,True,,0.10546875,0.31640625,-0.020866549304559497
S,MacroF1,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9",10,-0.01713705040995918,-0.02868864778934995,-0.005350486855627948,6.0,0.02734375,0.021484375,-0.7818181818181819,-1,10000,True,0.109375,0.0859375,n.s.,n.s.,True,,0.02734375,0.109375,-0.01713705040995918
S,MacroF1,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9",10,-0.029116042009461624,-0.04319087503008866,-0.015772724280678014,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.01953125,0.01953125,-*,-*,True,,0.00390625,0.01953125,-0.029116042009461624
S,MacroF1,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9",10,0.000264437709767866,-0.021560938172958878,0.023805896441162232,27.0,1.0,0.982421875,0.018181818181818188,1,10000,True,1.0,0.982421875,n.s.,n.s.,True,,1.0,1.0,0.000264437709767866
S,MacroF1,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9",10,-0.009800492254248307,-0.02473468435480178,0.004786467430356325,18.0,0.375,0.25,-0.34545454545454546,-1,10000,True,0.75,0.5,n.s.,n.s.,True,,0.375,0.75,-0.009800492254248307
