method,metric,tau,protocol_1,protocol_2,folds,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
baseline,BA,0.0,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.07100380323277233,-0.08678581369040736,-0.056318857494061944,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07100380323277233
baseline,BA,0.0,S,A,"0,1,2,3,4,5,6,7,8,9",10,-0.014960422214309455,-0.0314501004722077,0.001298323906616901,13.0,0.16015625,0.12890625,-0.5272727272727273,-1,10000,True,0.26171875,0.21484375,n.s.,n.s.,True,,0.16015625,0.26171875,-0.014960422214309455
baseline,BA,0.0,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.0907206827741429,-0.1065367763514965,-0.0728425863355488,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.0907206827741429
baseline,BA,0.0,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.05604338101846288,0.03315849825673216,0.08057974722249621,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.05604338101846288
baseline,BA,0.0,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.01971687954137057,-0.040141882111339434,0.0001589380505672219,12.0,0.130859375,0.107421875,-0.5636363636363637,-1,10000,True,0.26171875,0.21484375,n.s.,n.s.,True,,0.130859375,0.26171875,-0.01971687954137057
baseline,BA,0.0,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.07576026055983345,-0.09258409590379876,-0.060096160738050866,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07576026055983345
baseline,BA,0.1,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.07542854009244143,-0.10527601729945146,-0.04637381968901858,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.07542854009244143
baseline,BA,0.1,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.00949554313235267,-0.006414059017098516,0.02699890488672689,18.0,0.375,0.318359375,0.34545454545454546,1,10000,True,0.375,0.318359375,n.s.,n.s.,True,,0.375,0.375,0.00949554313235267
baseline,BA,0.1,S,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.05424365886680334,-0.08244214419603169,-0.029382121957116734,1.0,0.00390625,0.00390625,-0.9636363636363636,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.00390625,0.01171875,-0.05424365886680334
baseline,BA,0.1,SP,A,"0,1,2,3,4,5,6,7,8,9",10,0.0849240832247941,0.06241873726374121,0.10685003259045911,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.0849240832247941
baseline,BA,0.1,SP,AP,"0,1,2,3,4,5,6,7,8,9",10,0.021184881225638098,0.001196465307690675,0.04188214713422968,12.0,0.130859375,0.087890625,0.5636363636363637,1,10000,True,0.26171875,0.17578125,n.s.,n.s.,True,,0.130859375,0.26171875,0.021184881225638098
baseline,BA,0.1,A,AP,"0,1,2,3,4,5,6,7,8,9",10,-0.063739201999156,-0.08226620501657836,-0.045582187667773784,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.063739201999156
baseline,BA,0.2,S,SP,"0,1,2,3,4,5,6,7,8,9",10,-0.08288158958087362,-0.10866748876783282,-0.05711068748533049,0.0,0.001953125,0.001953125,-1.0,-1,10000,True,0.01171875,0.01171875,-*,-*,True,,0.001953125,0.01171875,-0.08288158958087362
baseline,BA,0.2,S,A,"0,1,2,3,4,5,6,7,8,9",10,0.004933078247783223,-0.010503293276521088,0.021429261398938682,21.0,0.556640625,0.572265625,0.23636363636363633,1,10000,True,1.0,1.0,n.s.,n.s.,True,,0.556640625,1.0,0.004933078247783223
