protocol,metric,tau,best_method,next_method,folds,exploratory,n,delta,delta_ci_lo,delta_ci_hi,W,p_wilcoxon,p_perm,r_rb,direction,n_boot,perm_exact,p_wilcoxon_holm,p_perm_holm,sig,sig_perm,concordant,flag,p_raw,p_holm,mean_delta
S,BA,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.013839730901272529,-0.004179834300202756,0.03200267473669102,15.0,0.232421875,0.185546875,0.4545454545454546,1,10000,True,0.232421875,0.185546875,n.s.,n.s.,True,,0.232421875,0.232421875,0.013839730901272529
S,BA,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.07499419407238524,0.045364313247719786,0.10283554732957574,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.07499419407238524
S,BA,0.2,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.09013813090017747,0.06763143256282123,0.11669625483367731,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.09013813090017747
S,BA,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.05942586194291257,0.04230358756574231,0.07726818867187353,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.05942586194291257
S,BA,0.4,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.060342908275417786,0.030529406679805457,0.09400431422572035,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.060342908275417786
S,BA,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.05206398717692247,0.03705664926105909,0.06784724899440146,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.05206398717692247
S,MacroF1,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.14090821557791441,0.1232433868388647,0.15805022695179993,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.14090821557791441
S,MacroF1,0.1,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.20413005700459105,0.18556365407829267,0.2208181193205425,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.20413005700459105
S,MacroF1,0.2,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.16727190067451006,0.15632961809594206,0.17812849057745675,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16727190067451006
S,MacroF1,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.12255530828789125,0.11526174223259081,0.13039247206632607,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.12255530828789125
S,MacroF1,0.4,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.08784939468461048,0.06702769114374249,0.10618617766622593,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08784939468461048
S,MacroF1,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.06574958338958241,0.056604961462800925,0.07437924630228179,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.06574958338958241
S,MacroAUC,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.04221753457647438,0.03689695715296948,0.04922644720049937,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04221753457647438
S,MacroAUC,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.04333270671934554,0.03541919545479493,0.0509756899764172,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04333270671934554
S,MacroAUC,0.2,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.04233967400254476,0.03458227532520864,0.050899299891663606,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.04233967400254476
S,MacroAUC,0.3,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.019377462408414415,0.009541699667982784,0.027631179769165327,2.0,0.005859375,0.005859375,0.9272727272727272,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.005859375,0.01171875,0.019377462408414415
S,MacroAUC,0.4,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.016503650683716554,0.005683267928287734,0.02748000732902129,8.0,0.048828125,0.02734375,0.7090909090909091,1,10000,True,0.048828125,0.02734375,+*,+*,True,,0.048828125,0.048828125,0.016503650683716554
S,MacroAUC,0.5,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.01199694196189871,0.0060736965414078916,0.01853307664591742,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.00390625,0.01171875,0.01199694196189871
SP,BA,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.023820041996532627,0.0017021789095979939,0.04323932774224735,9.0,0.064453125,0.0546875,0.6727272727272727,1,10000,True,0.12890625,0.109375,n.s.,n.s.,True,,0.064453125,0.12890625,0.023820041996532627
SP,BA,0.1,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.08896082869799794,0.07308709341604273,0.10579191691571824,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08896082869799794
SP,BA,0.2,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.08473515835154957,0.06143670539680055,0.10644208561471648,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.08473515835154957
SP,BA,0.3,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.04278818163476688,0.024654755361810197,0.06019261522936237,1.0,0.00390625,0.00390625,0.9636363636363636,1,10000,True,0.015625,0.015625,+*,+*,True,,0.00390625,0.015625,0.04278818163476688
SP,BA,0.4,SCE,AsyCo,"0,1,2,3,4,5,6,7,8,9",True,10,0.06309433321356797,0.029641055752909214,0.10015038299080953,2.0,0.005859375,0.005859375,0.9272727272727272,1,10000,True,0.017578125,0.017578125,+*,+*,True,,0.005859375,0.017578125,0.06309433321356797
SP,BA,0.5,SCE,ELR,"0,1,2,3,4,5,6,7,8,9",True,10,0.032017373079439033,0.004930150599276348,0.06022503542660468,9.0,0.064453125,0.060546875,0.6727272727272727,1,10000,True,0.12890625,0.109375,n.s.,n.s.,True,,0.064453125,0.12890625,0.032017373079439033
SP,MacroF1,0.0,SCE,baseline,"0,1,2,3,4,5,6,7,8,9",True,10,0.16811956896661862,0.14763141377839353,0.1867885790178807,0.0,0.001953125,0.001953125,1.0,1,10000,True,0.01171875,0.01171875,+*,+*,True,,0.001953125,0.01171875,0.16811956896661862
