protocol_1,protocol_2,metric,method,tau,p1_folds,p2_folds,aligned_folds,same_fold_ids,n_aligned
S,AP,BA,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,BA,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroF1,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
S,AP,MacroAUC,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,BA,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroF1,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,AsyCo,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,AsyCo,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,AsyCo,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,AsyCo,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,AsyCo,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
SP,AP,MacroAUC,AsyCo,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,SCE,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,SCE,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,SCE,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,SCE,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,SCE,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,SCE,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,ELR,0.0,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,ELR,0.1,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,ELR,0.2,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,ELR,0.3,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,ELR,0.4,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
A,AP,BA,ELR,0.5,"0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9","0,1,2,3,4,5,6,7,8,9",True,10
