protocol,metric,tau,rank,method,mean,lo,hi,n,gap_to_next
S,BA,0.0,1,SCE,0.6725503441505468,0.6506161474369001,0.6953318311762322,10,0.01383973090127244
S,BA,0.0,2,baseline,0.6587106132492744,0.6380173171844931,0.6823371220123601,10,0.07011585000859988
S,BA,0.0,3,ELR,0.5885947632406745,0.5676489414035863,0.6090034672113697,10,0.07296236279606572
S,BA,0.0,4,AsyCo,0.5156324004446088,0.49389086609421207,0.538580659275384,10,
S,BA,0.1,1,SCE,0.6301871248774348,0.5973183823898202,0.6597731905783947,10,0.07499419407238517
S,BA,0.1,2,baseline,0.5551929308050496,0.5391607376776291,0.5708414684467259,10,0.003924602422970991
S,BA,0.1,3,ELR,0.5512683283820786,0.5278998688791121,0.5722616439917448,10,0.09374392323701075
S,BA,0.1,4,AsyCo,0.45752440514506787,0.4331652305037466,0.482582228455344,10,
S,BA,0.2,1,SCE,0.6258528664930394,0.6099038161530169,0.6416760237922507,10,0.09013813090017753
S,BA,0.2,2,ELR,0.5357147355928619,0.5064936616607271,0.5631192021991571,10,0.012038054823486521
S,BA,0.2,3,baseline,0.5236766807693753,0.4995391679888165,0.5470593936998598,10,0.08002187635479274
S,BA,0.2,4,AsyCo,0.4436548044145826,0.41496051323748956,0.47335504207431905,10,
S,BA,0.3,1,SCE,0.5678171264509215,0.5412357614978179,0.592864637970902,10,0.05942586194291255
S,BA,0.3,2,baseline,0.508391264508009,0.48674285661887096,0.525686425383272,10,0.00944516518152505
S,BA,0.3,3,ELR,0.4989460993264839,0.4798581543260179,0.5184603318613737,10,0.08017903612322808
S,BA,0.3,4,AsyCo,0.41876706320325585,0.3931901141598202,0.44443809913428867,10,
S,BA,0.4,1,SCE,0.5422127736766698,0.5233975738258088,0.5600219889715191,10,0.06034290827541766
S,BA,0.4,2,baseline,0.4818698654012521,0.4568739868815607,0.5072075065323115,10,0.014473923903162766
S,BA,0.4,3,ELR,0.46739594149808933,0.4508512277393321,0.48329607979486366,10,0.053889870651198823
S,BA,0.4,4,AsyCo,0.4135060708468905,0.38746363240624704,0.4397190509103516,10,
S,BA,0.5,1,SCE,0.5036872708622167,0.4831628496702644,0.5215701769370812,10,0.05206398717692251
S,BA,0.5,2,baseline,0.45162328368529414,0.4350470207353349,0.46959099183050695,10,0.0036267043660795917
S,BA,0.5,3,ELR,0.44799657931921455,0.42483226166214216,0.47341747082910923,10,0.06536655815804071
S,BA,0.5,4,AsyCo,0.38263002116117384,0.35578889565239596,0.41104988396220526,10,
S,MacroF1,0.0,1,SCE,0.5740737268829723,0.55481129493636,0.5956767263870918,10,0.1409082155779144
S,MacroF1,0.0,2,baseline,0.4331655113050579,0.41824980877814644,0.44855617637389855,10,0.1254390199253303
S,MacroF1,0.0,3,ELR,0.30772649137972763,0.28584430731403815,0.3288082274400395,10,0.05591567021150867
S,MacroF1,0.0,4,AsyCo,0.25181082116821896,0.22999632294511865,0.27517201880877945,10,
S,MacroF1,0.1,1,SCE,0.40957395475218483,0.39156953863010346,0.42797205717112724,10,0.20413005700459105
S,MacroF1,0.1,2,ELR,0.20544389774759378,0.19297042360072206,0.21796015027090193,10,0.0004519866845845155
S,MacroF1,0.1,3,baseline,0.20499191106300926,0.19709702494176168,0.2134531336635176,10,0.020866549304559473
S,MacroF1,0.1,4,AsyCo,0.1841253617584498,0.17266100875758508,0.1965203010775004,10,
S,MacroF1,0.2,1,SCE,0.3593333549838446,0.3546518204490416,0.3643997871274157,10,0.16727190067451006
S,MacroF1,0.2,2,ELR,0.19206145430933455,0.18191448157857043,0.2021724429012144,10,0.007591489044304955
S,MacroF1,0.2,3,baseline,0.1844699652650296,0.17503602067974836,0.19301016052526443,10,0.017137050409959192
S,MacroF1,0.2,4,AsyCo,0.1673329148550704,0.15657048798362647,0.17790433479529524,10,
S,MacroF1,0.3,1,SCE,0.2969650863646524,0.2852447925604305,0.3087637513571271,10,0.12255530828789121
S,MacroF1,0.3,2,baseline,0.1744097780767612,0.16526754773191596,0.18320619892836051,10,0.004244889998371804
S,MacroF1,0.3,3,ELR,0.1701648880783894,0.16122758700775344,0.1802121017699151,10,0.02487115201108983
S,MacroF1,0.3,4,AsyCo,0.14529373606729956,0.1308810563917725,0.1584203206001856,10,
S,MacroF1,0.4,1,SCE,0.240961217471033,0.23138084824583727,0.25110809887390173,10,0.0878493946846105
S,MacroF1,0.4,2,AsyCo,0.1531118227864225,0.13145185026314518,0.1775751733008095,10,0.0002644377097678896
S,MacroF1,0.4,3,baseline,0.1528473850766546,0.14403310969212477,0.16064797749844326,10,0.010684429777837429
S,MacroF1,0.4,4,ELR,0.14216295529881717,0.13682606182197254,0.14774254971182885,10,
S,MacroF1,0.5,1,SCE,0.19997602307119444,0.19084924409998075,0.20977667884323445,10,0.06574958338958242
S,MacroF1,0.5,2,baseline,0.13422643968161202,0.12517167438035207,0.14344648832616516,10,0.007251985752168871
S,MacroF1,0.5,3,ELR,0.12697445392944315,0.1158948619295938,0.14128904306021875,10,0.0025485065020794256
S,MacroF1,0.5,4,AsyCo,0.12442594742736372,0.11020717136013702,0.13659515331083966,10,
S,MacroAUC,0.0,1,SCE,0.9388864811635991,0.9324471972442715,0.9441600957587329,10,0.04221753457647448
S,MacroAUC,0.0,2,baseline,0.8966689465871246,0.8868130684275799,0.9053808392614577,10,0.02965434532287181
S,MacroAUC,0.0,3,ELR,0.8670146012642528,0.8530895746990041,0.8798499102308178,10,0.0036550482189247058
S,MacroAUC,0.0,4,AsyCo,0.8633595530453281,0.8529130711226359,0.8745743735602546,10,
S,MacroAUC,0.1,1,SCE,0.8846376126358525,0.8764985017270959,0.8933004060333009,10,0.043332706719345526
S,MacroAUC,0.1,2,baseline,0.841304905916507,0.8338611635525608,0.8495609021690472,10,0.00711431767893822
S,MacroAUC,0.1,3,ELR,0.8341905882375688,0.8251270500994137,0.8439764976561089,10,0.006911818333505293
